Company_name,layoff_size,date,source,Ticker,ticker_mapping_status,ticker_mapping_reason
CLOUDFLARE,1100.0,2026-05-07,fyi_layoffs.csv,NET,kept,ok
BILL.COM,709.0,2026-05-07,fyi_layoffs.csv,0M5.HA,kept,ok
DEEPL,250.0,2026-05-07,fyi_layoffs.csv,DLC36116-USD,kept,ok
UPWORK,151.0,2026-05-07,fyi_layoffs.csv,UPWK,kept,ok
TRUECALLER,70.0,2026-05-07,fyi_layoffs.csv,TRUEBS.XC,kept,ok
ARCTIC WOLF,250.0,2026-05-06,fyi_layoffs.csv,ARCIZZX,kept,ok
PAYPAL,4760.0,2026-05-05,fyi_layoffs.csv,PYPL,kept,ok
COINBASE,700.0,2026-05-05,fyi_layoffs.csv,COIN,kept,ok
FRESHWORKS,500.0,2026-05-05,fyi_layoffs.csv,FRSH,kept,ok
0G,,2026-05-05,fyi_layoffs.csv,0GJ.F,kept,ok
SHOPIFY,30.0,2026-05-04,fyi_layoffs.csv,SHOP,kept,ok
ACKO,60.0,2026-04-20,fyi_layoffs.csv,ACKOQXX,kept,ok
META,8000.0,2026-04-17,fyi_layoffs.csv,META,kept,ok
QUORA,,2026-04-16,fyi_layoffs.csv,QUORZZX,kept,ok
SNAP,1000.0,2026-04-15,fyi_layoffs.csv,SNAP,kept,ok
UKG,950.0,2026-04-15,fyi_layoffs.csv,UKGBBZ.XC,kept,ok
TABOOLA,100.0,2026-04-15,fyi_layoffs.csv,TBLA,kept,ok
NAYAX,32.0,2026-04-15,fyi_layoffs.csv,NAYAX,kept,ok
LIFE360,,2026-04-10,fyi_layoffs.csv,LIF,kept,ok
CARS.COM,,2026-04-09,fyi_layoffs.csv,CARS,kept,ok
IAC,77.0,2026-04-08,fyi_layoffs.csv,0P00013MJG,kept,ok
GOPRO,145.0,2026-04-07,fyi_layoffs.csv,GPRO,kept,ok
BOLT,,2026-04-05,fyi_layoffs.csv,BOLT,kept,ok
WELLTECH,225.0,2026-04-03,fyi_layoffs.csv,002058.SZ,kept,ok
META,200.0,2026-04-02,fyi_layoffs.csv,META,kept,ok
SONOS,,2026-04-01,fyi_layoffs.csv,SONO,kept,ok
MONTE CARLO,,2026-03-26,fyi_layoffs.csv,MONTECARLO.NS,kept,ok
EPIC GAMES,1000.0,2026-03-24,fyi_layoffs.csv,EPIGZZX,kept,ok
SPOTIFY,15.0,2026-03-23,fyi_layoffs.csv,SPOT,kept,ok
GEMINI,,2026-03-20,fyi_layoffs.csv,GEMI,kept,ok
CRYPTO.COM,,2026-03-19,fyi_layoffs.csv,CDCETH-USD,kept,ok
SNOWFLAKE,,2026-03-19,fyi_layoffs.csv,SNOW,kept,ok
DELL,11000.0,2026-03-16,fyi_layoffs.csv,DELL,kept,ok
STONE,400.0,2026-03-13,fyi_layoffs.csv,SNEX,kept,ok
DIGG,,2026-03-13,fyi_layoffs.csv,DIGGX,kept,ok
ATLASSIAN,1600.0,2026-03-11,fyi_layoffs.csv,TEAM,kept,ok
AMAZON,100.0,2026-03-04,fyi_layoffs.csv,AMZN,kept,ok
MICROVISION,49.0,2026-03-03,fyi_layoffs.csv,MVIS,kept,ok
OCADO,1000.0,2026-02-26,fyi_layoffs.csv,OCDO.L,kept,ok
