Company,Location HQ,# Laid Off,Date,%,Industry,Source,Stage,$ Raised (m...,Country,Date Added
Cloudflare,SF Bay Area,1100.0,2026-05-07,20%,Security,https://blog.cloudflare....,Post-I...,$332,United States,7.5.2026
Bill.com,SF Bay Area,709.0,2026-05-07,30%,Finance,https://www.bill.com/bl...,Post-I...,$280,United States,7.5.2026
Ticketmaster,Los Angeles,350.0,2026-05-07,8%,Consumer,https://hoodline.com/2...,Acquir...,,United States,9.5.2026
DeepL,Cologne,250.0,2026-05-07,21%,AI,https://www.linkedin.c...,Unkno...,$400,Germany,7.5.2026
Upwork,SF Bay Area,151.0,2026-05-07,24%,Other,https://www.upwork.co...,Post-I...,$168,United States,8.5.2026
Truecaller,Stockholm,70.0,2026-05-07,,Consumer,https://uk.investing.co...,Post-I...,$101,Sweden,7.5.2026
Arctic Wolf,Minneapolis,250.0,2026-05-06,10%,Security,https://www.theregiste...,Unkno...,$899,United States,7.5.2026
Pocket FM,Bengaluru,100.0,2026-05-06,10%,Media,https://entrackr.com/ex...,Series D,$212,India,6.5.2026
ApnaMart,Bengaluru,35.0,2026-05-06,10%,Food,https://entrackr.com/n...,Series B,$40,India,6.5.2026
PayPal,SF Bay Area,4760.0,2026-05-05,20%,Finance,https://www.wsj.com/b...,Post-I...,$216,United States,6.5.2026
Coinbase,SF Bay Area,700.0,2026-05-05,14%,Crypto,https://techcrunch.com...,Post-I...,$549,United States,5.5.2026
Freshworks,SF Bay Area,500.0,2026-05-05,11%,Support,https://www.reuters.co...,Post-I...,$484,United States,6.5.2026
0G,SF Bay Area,,2026-05-05,25%,Crypto,https://www.businessin...,Unkno...,,United States,7.5.2026
Careem,DubaiNo,,2026-05-05,,Transpor...,https://en.dailypakistan...,Acquir...,$771,United Ara...,7.5.2026
Shopify,OttawaN,30.0,2026-05-04,,Retail,https://thelogic.co/new...,Post-I...,$122,Canada,7.5.2026
Pentera,Boston,40.0,2026-04-27,8%,Security,https://www.calcalistec...,Series D,$249,United States,1.5.2026
SuperOps,Chennai,60.0,2026-04-24,30%,Other,https://inc42.com/buzz...,Series C,$54,India,1.5.2026
Epidemic Sound,Stockholm,150.0,2026-04-21,33%,Media,https://www.marketscr...,Privat...,$509,Sweden,7.5.2026
Acko,Mumbai,60.0,2026-04-20,5%,Finance,https://inc42.com/buzz...,Unkno...,$143,India,21.4.2026
Meta,SF Bay Area,8000.0,2026-04-17,10%,Consumer,https://www.reuters.co...,Post-I...,"$26,000",United States,21.4.2026
Shutterfly,HaifaNo,80.0,2026-04-16,,Manufac...,https://www.calcalistec...,Post-I...,$50,United States,17.4.2026
Quora,SF Bay Area,,2026-04-16,,Consumer,https://quorablog.quor...,Series D,$226,United States,21.4.2026
Snap,Los Angeles,1000.0,2026-04-15,16%,Consumer,https://www.cnbc.com/...,Post-I...,"$4,900",United States,15.4.2026
UKG,Boston,950.0,2026-04-15,,HR,https://www.sun-sentin...,Unkno...,,United States,17.4.2026
Taboola,New York City,100.0,2026-04-15,5%,Marketing,https://www.calcalistec...,Post-I...,$445,United States,5.5.2026
Nayax,Tel AvivN,32.0,2026-04-15,3%,Finance,https://www.calcalistec...,Post-I...,$245,Israel,5.5.2026
Productboard,SF Bay Area,,2026-04-15,30%,Product,https://www.linkedin.c...,Series D,,United States,16.4.2026
GoCardless,London,90.0,2026-04-14,,Finance,https://www.cityam.co...,Series G,$529,United Kin...,1.5.2026
Eventbrite,SF Bay Area,,2026-04-13,,Consumer,https://www.reuters.co...,Acquir...,$290,United States,17.4.2026
StarkWare,Tel AvivN,,2026-04-13,,Crypto,https://www.calcalistec...,Series D,$273,Israel,17.4.2026
Esh Group,Tel AvivN,,2026-04-12,,Finance,https://www.calcalistec...,Acquir...,,Israel,5.5.2026
Life360,SF Bay Area,,2026-04-10,,Consumer,https://www.9news.co...,Post-I...,$158,United States,1.5.2026
Cars.com,Chicago,,2026-04-09,11%,Transpor...,https://www.marketwat...,Acquir...,,United States,17.4.2026
Pepper Pay,Miami,,2026-04-09,100%,Finance,https://www.americanb...,Unkno...,,United States,17.4.2026
IAC,New York City,77.0,2026-04-08,2%,Consumer,https://variety.com/202...,Post-I...,,United States,7.5.2026
GoPro,SF Bay Area,145.0,2026-04-07,23%,Consumer,https://www.wsj.com/b...,Post-I...,$288,United States,8.4.2026
Pendo,Raleigh,90.0,2026-04-07,10%,Product,https://www.axios.com...,Series F,$469,United States,8.4.2026
Bolt,SF Bay Area,,2026-04-05,33%,Finance,https://www.pymnts.co...,Series E,"$1,300",United States,7.4.2026
Welltech,Limassol,225.0,2026-04-03,30%,Fitness,https://dev.ua/en/news...,Unkno...,,Cyprus,7.5.2026
NeuroPixel.AI,Bengaluru,,2026-04-03,100%,Retail,https://entrackr.com/n...,Seed,$1,India,7.4.2026
Vimeo,New York City,,2026-04-03,,Consumer,https://hoodline.com/2...,Post-I...,$450,United States,4.4.2026
Meta,SF Bay Area,200.0,2026-04-02,,Consumer,https://www.sfchronicl...,Post-I...,"$26,000",United States,7.4.2026
Sonos,Santa Barbara,,2026-04-01,,Consumer,https://www.bloomber...,Post-I...,$455,United States,7.4.2026
Oracle,SF Bay Area,30000.0,2026-03-31,,Other,https://www.cnbc.com/...,Post-I...,,United States,31.3.2026
Monzo,London,50.0,2026-03-31,,Finance,https://www.bloomber...,Series F,$324,United Kin...,31.3.2026
Covrzy,Bengaluru,,2026-03-31,100%,Finance,https://inc42.com/buzz...,Seed,,India,4.4.2026
Rec Room,Seattle,,2026-03-31,100%,Consumer,https://techcrunch.com...,Series F,$294,United States,1.4.2026
Yupp,SF Bay Area,,2026-03-31,100%,AI,https://techcrunch.com...,Seed,$33,United States,1.4.2026
Enpal,BerlinNo,100.0,2026-03-27,,Energy,https://www.businessin...,Series E,"$3,500",Germany,31.3.2026
Monte Carlo,SF Bay Area,,2026-03-26,30%,Data,https://www.linkedin.c...,Series D,$236,United States,31.3.2026
Quandoo,BerlinNo,,2026-03-26,100%,Food,https://finance.yahoo.c...,Acquir...,$39,Germany,17.4.2026
Epic Games,Raleigh,1000.0,2026-03-24,,Consumer,https://www.epicgames...,Unkno...,"$6,400",United States,24.3.2026
Zendesk,SF Bay Area,100.0,2026-03-24,,Support,Internal memo,Acquir...,$85,United States,31.3.2026
OpenText,Waterloo,,2026-03-24,,Data,https://betakit.com/op...,Post-I...,"$1,100",Canada,25.3.2026
Spotify,Stockholm,15.0,2026-03-23,,Media,https://variety.com/202...,Post-I...,"$2,100",Sweden,25.3.2026
Gemini,New York City,,2026-03-20,30%,Crypto,https://www.bloomber...,Unkno...,$423,United States,22.3.2026
Crypto.com,Singapore,,2026-03-19,12%,Crypto,https://www.cnbc.com/...,Unkno...,,Singapore,22.3.2026
Snowflake,SF Bay Area,,2026-03-19,,Data,https://www.businessin...,Post-I...,"$2,900",United States,24.3.2026
FranShares,Chicago,,2026-03-17,100%,Finance,https://www.bizjournal...,Seed,$6,United States,22.3.2026
Dell,Austin,11000.0,2026-03-16,10%,Hardware,https://www.reuters.co...,Post-I...,,United States,23.4.2026
