,2026-03-31
Free Cash Flow,-344060.0
End Cash Position,907573.0
Beginning Cash Position,1270396.0
Changes In Cash,-362823.0
Financing Cash Flow,-18763.0
Cash Flow From Continuing Financing Activities,-18763.0
Net Other Financing Charges,-18763.0
Operating Cash Flow,-344060.0
Cash Flow From Continuing Operating Activities,-344060.0
Change In Working Capital,-36657.0
Change In Payables And Accrued Expense,84681.0
Change In Accrued Expense,84681.0
Change In Prepaid Assets,-121338.0
Other Non Cash Items,-2033498.0
Net Income From Continuing Operations,1726095.0
