,2026-03-31,2025-03-31
Free Cash Flow,-17770000.0,-9746000.0
Issuance Of Debt,40000000.0,0.0
Issuance Of Capital Stock,0.0,32213000.0
Capital Expenditure,-42000.0,-23000.0
Interest Paid Supplemental Data,230000.0,230000.0
End Cash Position,55725000.0,37298000.0
Beginning Cash Position,33587000.0,14620000.0
Changes In Cash,22138000.0,22678000.0
Financing Cash Flow,39908000.0,32424000.0
Cash Flow From Continuing Financing Activities,39908000.0,32424000.0
Net Other Financing Charges,-450000.0,
Proceeds From Stock Option Exercised,358000.0,211000.0
Net Preferred Stock Issuance,0.0,32213000.0
Preferred Stock Issuance,0.0,32213000.0
Net Issuance Payments Of Debt,40000000.0,0.0
Net Long Term Debt Issuance,40000000.0,0.0
Long Term Debt Issuance,40000000.0,0.0
Investing Cash Flow,-42000.0,-23000.0
Cash Flow From Continuing Investing Activities,-42000.0,-23000.0
Net PPE Purchase And Sale,-42000.0,-23000.0
Purchase Of PPE,-42000.0,-23000.0
Operating Cash Flow,-17728000.0,-9723000.0
Cash Flow From Continuing Operating Activities,-17728000.0,-9723000.0
Change In Working Capital,-1322000.0,424000.0
Change In Other Current Assets,-139000.0,-104000.0
Change In Payables And Accrued Expense,-171000.0,605000.0
Change In Accrued Expense,-898000.0,-916000.0
Change In Payable,727000.0,1521000.0
Change In Account Payable,727000.0,1521000.0
Change In Inventory,-593000.0,-486000.0
Change In Receivables,-419000.0,409000.0
Changes In Account Receivables,-419000.0,409000.0
Other Non Cash Items,127000.0,9000.0
Stock Based Compensation,407000.0,201000.0
Unrealized Gain Loss On Investment Securities,728000.0,0.0
Depreciation Amortization Depletion,56000.0,31000.0
Depreciation And Amortization,56000.0,31000.0
Operating Gains Losses,16000.0,265000.0
Gain Loss On Investment Securities,16000.0,265000.0
Net Income From Continuing Operations,-17740000.0,-10653000.0
