,2026-03-31,2025-12-31,2025-06-30,2025-03-31
Free Cash Flow,316000000.0,91000000.0,87000000.0,584000000.0
Repurchase Of Capital Stock,0.0,-1970000000.0,-6000000.0,-9000000.0
Repayment Of Debt,0.0,-4049000000.0,-19000000.0,-179000000.0
Issuance Of Debt,0.0,0.0,0.0,179000000.0
Capital Expenditure,-96000000.0,-138000000.0,-110000000.0,-98000000.0
Interest Paid Supplemental Data,61000000.0,338000000.0,336000000.0,136000000.0
End Cash Position,2238000000.0,1942000000.0,584000000.0,840000000.0
Beginning Cash Position,1942000000.0,955000000.0,840000000.0,250000000.0
Effect Of Exchange Rate Changes,-7000000.0,-1000000.0,18000000.0,9000000.0
Changes In Cash,303000000.0,988000000.0,-274000000.0,581000000.0
Financing Cash Flow,-13000000.0,897000000.0,-328000000.0,-9000000.0
Cash Flow From Continuing Financing Activities,-13000000.0,897000000.0,-328000000.0,-9000000.0
Net Other Financing Charges,-13000000.0,,,
Cash Dividends Paid,,-96000000.0,,
Common Stock Dividend Paid,,-96000000.0,,
Net Common Stock Issuance,0.0,5078000000.0,-6000000.0,-9000000.0
Common Stock Payments,0.0,-1970000000.0,-6000000.0,-9000000.0
Net Issuance Payments Of Debt,0.0,-4049000000.0,-19000000.0,0.0
Net Long Term Debt Issuance,0.0,-4049000000.0,-19000000.0,0.0
Long Term Debt Payments,0.0,-4049000000.0,-19000000.0,-179000000.0
Long Term Debt Issuance,0.0,0.0,0.0,179000000.0
Investing Cash Flow,-96000000.0,-138000000.0,-143000000.0,-92000000.0
Cash Flow From Continuing Investing Activities,-96000000.0,-138000000.0,-143000000.0,-92000000.0
Net Other Investing Changes,,0.0,,
Net Business Purchase And Sale,0.0,0.0,0.0,6000000.0
Sale Of Business,0.0,0.0,0.0,6000000.0
Net PPE Purchase And Sale,-96000000.0,-138000000.0,-110000000.0,-98000000.0
Purchase Of PPE,-96000000.0,-138000000.0,-110000000.0,-98000000.0
Operating Cash Flow,412000000.0,229000000.0,197000000.0,682000000.0
Cash Flow From Continuing Operating Activities,412000000.0,229000000.0,197000000.0,682000000.0
Change In Working Capital,-161000000.0,-282000000.0,-507000000.0,5000000.0
Change In Other Current Liabilities,-32000000.0,-7000000.0,5000000.0,-9000000.0
Change In Other Current Assets,-19000000.0,-2000000.0,-15000000.0,-28000000.0
Change In Payables And Accrued Expense,78000000.0,-142000000.0,-215000000.0,69000000.0
Change In Accrued Expense,72000000.0,-75000000.0,-225000000.0,34000000.0
Change In Payable,6000000.0,-67000000.0,10000000.0,35000000.0
Change In Account Payable,6000000.0,-67000000.0,10000000.0,35000000.0
Change In Inventory,-42000000.0,-15000000.0,-231000000.0,71000000.0
Change In Receivables,-146000000.0,-116000000.0,-51000000.0,-98000000.0
Changes In Account Receivables,-146000000.0,-116000000.0,-51000000.0,-98000000.0
Other Non Cash Items,31000000.0,52000000.0,24000000.0,38000000.0
Stock Based Compensation,23000000.0,27000000.0,15000000.0,19000000.0
Provisionand Write Offof Assets,1000000.0,9000000.0,13000000.0,26000000.0
Deferred Tax,37000000.0,,,-4000000.0
Deferred Income Tax,37000000.0,,,-4000000.0
Depreciation Amortization Depletion,254000000.0,261000000.0,250000000.0,247000000.0
Depreciation And Amortization,254000000.0,261000000.0,250000000.0,247000000.0
Operating Gains Losses,-12000000.0,-18000000.0,65000000.0,29000000.0
Net Foreign Currency Exchange Gain Loss,-12000000.0,-35000000.0,65000000.0,29000000.0
Net Income From Continuing Operations,239000000.0,180000000.0,333000000.0,322000000.0
