,2026-03-31
Free Cash Flow,-40420.0
Issuance Of Debt,95420.0
End Cash Position,30000.0
Beginning Cash Position,0.0
Changes In Cash,30000.0
Financing Cash Flow,70420.0
Cash Flow From Continuing Financing Activities,70420.0
Net Other Financing Charges,-25000.0
Net Issuance Payments Of Debt,95420.0
Net Short Term Debt Issuance,95420.0
Short Term Debt Issuance,95420.0
Operating Cash Flow,-40420.0
Cash Flow From Continuing Operating Activities,-40420.0
Other Non Cash Items,3050.0
Net Income From Continuing Operations,-43470.0
