,2026-03-31,2025-03-31
Free Cash Flow,-20172000.0,-20259000.0
Capital Expenditure,,-54000.0
End Cash Position,53363000.0,63797000.0
Beginning Cash Position,46496000.0,309553000.0
Effect Of Exchange Rate Changes,-28000.0,0.0
Changes In Cash,6895000.0,-245756000.0
Financing Cash Flow,-783000.0,0.0
Cash Flow From Continuing Financing Activities,-783000.0,0.0
Net Other Financing Charges,-783000.0,
Investing Cash Flow,27850000.0,-225551000.0
Cash Flow From Continuing Investing Activities,27850000.0,-225551000.0
Net Investment Purchase And Sale,27850000.0,-225497000.0
Sale Of Investment,75000000.0,0.0
Purchase Of Investment,-47150000.0,-225497000.0
Net PPE Purchase And Sale,0.0,-54000.0
Purchase Of PPE,0.0,-54000.0
Operating Cash Flow,-20172000.0,-20205000.0
Cash Flow From Continuing Operating Activities,-20172000.0,-20205000.0
Change In Working Capital,2533000.0,-8179000.0
Change In Other Current Liabilities,-323000.0,-230000.0
Change In Other Current Assets,0.0,-1191000.0
Change In Payables And Accrued Expense,1285000.0,-4103000.0
Change In Accrued Expense,-1499000.0,-1871000.0
Change In Payable,2784000.0,-2232000.0
Change In Account Payable,2780000.0,-2003000.0
Change In Prepaid Assets,1571000.0,-2655000.0
Stock Based Compensation,2569000.0,1619000.0
Amortization Of Securities,-223000.0,-835000.0
Depreciation Amortization Depletion,357000.0,315000.0
Depreciation And Amortization,357000.0,315000.0
Depreciation,357000.0,315000.0
Net Income From Continuing Operations,-25408000.0,-13125000.0
