,2026-03-31
Free Cash Flow,-501000.0
End Cash Position,2344000.0
Beginning Cash Position,2845000.0
Changes In Cash,-501000.0
Operating Cash Flow,-501000.0
Cash Flow From Continuing Operating Activities,-501000.0
Change In Working Capital,-83000.0
Change In Other Working Capital,99000.0
Change In Payables And Accrued Expense,-163000.0
Change In Accrued Expense,-176000.0
Change In Payable,13000.0
Change In Account Payable,13000.0
Change In Prepaid Assets,-19000.0
Other Non Cash Items,-2033000.0
Net Income From Continuing Operations,1615000.0
