,2026-03-31,2025-12-31
Free Cash Flow,-21699.0,-29211.0
Issuance Of Debt,,160723.0
End Cash Position,22691.0,44390.0
Beginning Cash Position,44390.0,0.0
Changes In Cash,-21699.0,44390.0
Financing Cash Flow,,73601.0
Cash Flow From Continuing Financing Activities,,73601.0
Net Other Financing Charges,,-87122.0
Net Issuance Payments Of Debt,,160723.0
Net Short Term Debt Issuance,,160723.0
Short Term Debt Issuance,,160723.0
Operating Cash Flow,-21699.0,-29211.0
Cash Flow From Continuing Operating Activities,-21699.0,-29211.0
Change In Working Capital,1508.0,50.0
Change In Payables And Accrued Expense,1608.0,50.0
Change In Payable,1608.0,
Change In Account Payable,1608.0,
Change In Receivables,-100.0,
Other Non Cash Items,,34011.0
Net Income From Continuing Operations,-23207.0,-63272.0
