,2026-02-28,2025-11-30,2025-05-31,2025-02-28
Free Cash Flow,-473126.0,-27750.0,-20630.0,-51470.0
Repayment Of Debt,-300000.0,,,0.0
Issuance Of Debt,0.0,0.0,45000.0,142101.0
Issuance Of Capital Stock,231700000.0,0.0,0.0,0.0
End Cash Position,718100.0,432.0,41467.0,17097.0
Beginning Cash Position,432.0,317098.0,17097.0,0.0
Changes In Cash,717668.0,-316666.0,24370.0,17097.0
Financing Cash Flow,231015794.0,-288916.0,45000.0,68567.0
Cash Flow From Continuing Financing Activities,231015794.0,-288916.0,45000.0,68567.0
Net Other Financing Charges,-384206.0,-273517.0,0.0,-73534.0
Net Common Stock Issuance,231700000.0,0.0,0.0,0.0
Common Stock Issuance,231700000.0,0.0,0.0,0.0
Net Issuance Payments Of Debt,-300000.0,-15399.0,45000.0,142101.0
Net Short Term Debt Issuance,-300000.0,0.0,45000.0,142101.0
Short Term Debt Payments,-300000.0,,,0.0
Short Term Debt Issuance,0.0,0.0,45000.0,142101.0
Investing Cash Flow,-229825000.0,,,0.0
Cash Flow From Continuing Investing Activities,-229825000.0,,,0.0
Net Other Investing Changes,-229825000.0,,,
Operating Cash Flow,-473126.0,-27750.0,-20630.0,-51470.0
Cash Flow From Continuing Operating Activities,-473126.0,-27750.0,-20630.0,-51470.0
Change In Working Capital,-195167.0,-25000.0,2557.0,21200.0
Change In Payables And Accrued Expense,49554.0,0.0,2557.0,21200.0
Change In Accrued Expense,,0.0,2557.0,21200.0
Change In Payable,49554.0,,,21200.0
Change In Account Payable,49192.0,,,21200.0
Change In Prepaid Assets,-244721.0,,,0.0
Other Non Cash Items,-1636856.0,,,
Net Income From Continuing Operations,1358897.0,-37063.0,-23187.0,-72670.0
