,2026-03-31
Free Cash Flow,-278253.0
End Cash Position,774387.0
Beginning Cash Position,1071605.0
Changes In Cash,-297218.0
Financing Cash Flow,-18965.0
Cash Flow From Continuing Financing Activities,-18965.0
Net Other Financing Charges,-18965.0
Operating Cash Flow,-278253.0
Cash Flow From Continuing Operating Activities,-278253.0
Change In Working Capital,-5572.0
Change In Payables And Accrued Expense,-33380.0
Change In Accrued Expense,-46244.0
Change In Payable,12864.0
Change In Account Payable,12864.0
Change In Prepaid Assets,32808.0
Change In Receivables,-5000.0
Other Non Cash Items,-2225943.0
Operating Gains Losses,-77000.0
Gain Loss On Investment Securities,-77000.0
Net Income From Continuing Operations,2030262.0
