,2026-03-31,2025-12-31,2025-06-30,2025-03-31
Free Cash Flow,-177905240.63,-263782323.94,-61980921.79,-101865467.43
Repayment Of Debt,-120000000.0,-328179553.33,,-186000000.0
Issuance Of Debt,99452500.0,13596361.53,,313074323.68
Capital Expenditure,-57197679.6,-147809574.85,,-119861733.13
End Cash Position,199517138.84,414999457.35,,81773633.4
Beginning Cash Position,414999457.35,2204409418.7,,77698506.5
Effect Of Exchange Rate Changes,-1140389.29,516686.05,,2613393.93
Changes In Cash,-214341929.22,-1789926647.4,,1461732.97
Financing Cash Flow,-27333261.54,-377983308.01,-35955200.12,103195152.67
Net Other Financing Charges,-5198095.02,-58912206.55,-140760928.45,-19059782.18
Cash Dividends Paid,-1587666.52,-4487909.66,,-4819388.83
Net Issuance Payments Of Debt,-20547500.0,-314583191.8,,127074323.68
Net Long Term Debt Issuance,-20547500.0,-314583191.8,,127074323.68
Long Term Debt Payments,-120000000.0,-328179553.33,,-186000000.0
Long Term Debt Issuance,99452500.0,13596361.53,,313074323.68
Investing Cash Flow,-66301106.65,-1295970590.3,-84578294.41,-119729685.4
Net Other Investing Changes,-10000000.0,,,-119729700.0
Net Investment Purchase And Sale,275000.0,,,
Sale Of Investment,100275000.0,,,
Purchase Of Investment,-100000000.0,,,
Net PPE Purchase And Sale,-56576106.65,-145970590.3,,-119729685.4
Sale Of PPE,621572.95,1838984.55,,132047.73
Purchase Of PPE,-57197679.6,-147809574.85,,-119861733.13
Cash Flowsfromusedin Operating Activities Direct,-120707561.03,-115972749.09,142942242.72,17996265.7
Taxes Refund Paid Direct,-25532930.19,-35494072.16,,-35191783.71
Classesof Cash Payments,-758486779.06,-663778623.09,,-672040282.18
Other Cash Paymentsfrom Operating Activities,-31894011.34,-27835836.73,,-56304822.18
Paymentson Behalfof Employees,-132662553.83,-146134683.97,,-129416876.53
Paymentsto Suppliersfor Goodsand Services,-593930213.89,-489808102.39,,-486318583.47
Classesof Cash Receiptsfrom Operating Activities,663312148.22,583299946.16,,725228331.59
Other Cash Receiptsfrom Operating Activities,2694695.88,-1400568.72,,1545009.23
Receiptsfrom Customers,660617452.34,584700514.88,,723683322.36
