,2026-03-31,2025-12-31
Free Cash Flow,-22891.0,-123988.0
Issuance Of Debt,22000.0,100100.0
Issuance Of Capital Stock,0.0,25000.0
Interest Paid Supplemental Data,0.0,0.0
Income Tax Paid Supplemental Data,0.0,0.0
End Cash Position,221.0,1112.0
Beginning Cash Position,1112.0,0.0
Changes In Cash,-891.0,1112.0
Financing Cash Flow,22000.0,125100.0
Cash Flow From Continuing Financing Activities,22000.0,125100.0
Net Common Stock Issuance,0.0,25000.0
Common Stock Issuance,0.0,25000.0
Net Issuance Payments Of Debt,22000.0,100100.0
Net Short Term Debt Issuance,22000.0,100100.0
Short Term Debt Issuance,22000.0,100100.0
Operating Cash Flow,-22891.0,-123988.0
Cash Flow From Continuing Operating Activities,-22891.0,-123988.0
Change In Working Capital,-601.0,-90612.0
Change In Other Working Capital,-12796.0,-85787.0
Change In Payables And Accrued Expense,9607.0,18250.0
Change In Accrued Expense,9607.0,17500.0
Change In Payable,,750.0
Change In Prepaid Assets,2588.0,-23075.0
Net Income From Continuing Operations,-22290.0,-33376.0
