,2025-03-31
Free Cash Flow,-83910000.0
Issuance Of Capital Stock,5400000.0
Capital Expenditure,-9250000.0
End Cash Position,6380000.0
Beginning Cash Position,2600000.0
Changes In Cash,3770000.0
Financing Cash Flow,48910000.0
Interest Paid Cff,-40900000.0
Net Common Stock Issuance,5400000.0
Common Stock Issuance,5400000.0
Net Issuance Payments Of Debt,102760000.0
Net Short Term Debt Issuance,56370000.0
Net Long Term Debt Issuance,46390000.0
Investing Cash Flow,29520000.0
Net Other Investing Changes,430000.0
Net PPE Purchase And Sale,-9100000.0
Sale Of PPE,150000.0
Purchase Of PPE,-9250000.0
Operating Cash Flow,-74660000.0
Taxes Refund Paid,-9360000.0
Change In Working Capital,-212410000.0
Change In Other Current Liabilities,-187420000.0
Change In Other Current Assets,42590000.0
Change In Payable,-72200000.0
Change In Inventory,-10820000.0
Change In Receivables,24050000.0
Other Non Cash Items,36820000.0
Provisionand Write Offof Assets,-2840000.0
Depreciation And Amortization,11220000.0
Depreciation,11230000.0
Pension And Employee Benefit Expense,1820000.0
Gain Loss On Sale Of PPE,150000.0
Net Income From Continuing Operations,99950000.0
