,2026-03-31
Free Cash Flow,-401838.0
Issuance Of Debt,250000.0
End Cash Position,60261.0
Beginning Cash Position,212099.0
Changes In Cash,-151838.0
Financing Cash Flow,250000.0
Cash Flow From Continuing Financing Activities,250000.0
Net Issuance Payments Of Debt,250000.0
Net Short Term Debt Issuance,250000.0
Short Term Debt Issuance,250000.0
Operating Cash Flow,-401838.0
Cash Flow From Continuing Operating Activities,-401838.0
Change In Working Capital,249209.0
Change In Payables And Accrued Expense,272230.0
Change In Accrued Expense,422161.0
Change In Payable,-149931.0
Change In Account Payable,-149931.0
Change In Prepaid Assets,6979.0
Change In Receivables,-30000.0
Other Non Cash Items,-1594402.0
Net Income From Continuing Operations,943355.0
