,2026-03-31,2025-12-31,2025-09-30
Free Cash Flow,-185440.0,-487642.0,0.0
End Cash Position,552636.0,738076.0,0.0
Beginning Cash Position,738076.0,0.0,0.0
Changes In Cash,-185440.0,,
Operating Cash Flow,-185440.0,-487642.0,0.0
Cash Flow From Continuing Operating Activities,-185440.0,-487642.0,0.0
Change In Working Capital,6885.0,-316981.0,27166.0
Change In Payables And Accrued Expense,10693.0,74226.0,27166.0
Change In Accrued Expense,10693.0,74226.0,27166.0
Change In Prepaid Assets,-3808.0,,
Other Non Cash Items,-2027507.0,-515668.0,17470.0
Net Income From Continuing Operations,1835182.0,345007.0,-44636.0
