,2025-03-31,2024-12-31
Free Cash Flow,429186.0,-3285063.0
Repayment Of Debt,-2187908.0,-357607.0
Issuance Of Debt,1756178.0,2952599.0
Capital Expenditure,-96834.0,-227733.0
End Cash Position,1435123.0,1437667.0
Beginning Cash Position,1437667.0,2127738.0
Changes In Cash,-2544.0,-690071.0
Financing Cash Flow,-431730.0,2594992.0
Cash Flow From Continuing Financing Activities,-431730.0,2594992.0
Net Issuance Payments Of Debt,-431730.0,2594992.0
Net Long Term Debt Issuance,-431730.0,2594992.0
Long Term Debt Payments,-2187908.0,-357607.0
Long Term Debt Issuance,1756178.0,2952599.0
Investing Cash Flow,-96834.0,-227733.0
Cash Flow From Continuing Investing Activities,-96834.0,-227733.0
Net PPE Purchase And Sale,-96834.0,-227733.0
Purchase Of PPE,-96834.0,-227733.0
Operating Cash Flow,526020.0,-3057330.0
Cash Flow From Continuing Operating Activities,526020.0,-3057330.0
Change In Working Capital,908600.0,-2986781.0
Change In Other Working Capital,-21352.0,-42882.0
Change In Other Current Assets,224386.0,-465798.0
Change In Payables And Accrued Expense,-762336.0,-2787215.0
Change In Payable,-762336.0,-2787215.0
Change In Inventory,607191.0,1825943.0
Change In Receivables,860711.0,-1516829.0
Other Non Cash Items,160119.0,137839.0
Depreciation Amortization Depletion,87934.0,111944.0
Depreciation And Amortization,87934.0,111944.0
Depreciation,87934.0,111944.0
Net Income From Continuing Operations,-630633.0,-320332.0
