,2026-03-31,2025-03-31
Free Cash Flow,-34251000.0,-16656000.0
Repurchase Of Capital Stock,0.0,-483000.0
Capital Expenditure,-671000.0,-4561000.0
End Cash Position,65319000.0,76355000.0
Beginning Cash Position,96953000.0,89646000.0
Changes In Cash,-31634000.0,-13291000.0
Financing Cash Flow,0.0,-621000.0
Cash Dividends Paid,,-138000.0
Common Stock Dividend Paid,0.0,-138000.0
Net Common Stock Issuance,0.0,-483000.0
Common Stock Payments,0.0,-483000.0
Investing Cash Flow,1946000.0,-575000.0
Net Other Investing Changes,2617000.0,3986000.0
Net PPE Purchase And Sale,-671000.0,-4561000.0
Purchase Of PPE,-671000.0,-4561000.0
Operating Cash Flow,-33580000.0,-12095000.0
Change In Working Capital,-30634000.0,-6025000.0
Change In Other Current Liabilities,-14162000.0,-3111000.0
Change In Other Current Assets,-14005000.0,-5230000.0
Change In Payable,7849000.0,3288000.0
Change In Prepaid Assets,-4449000.0,-4225000.0
Change In Inventory,-130000.0,-384000.0
Change In Receivables,-5737000.0,3637000.0
Other Non Cash Items,,55000.0
Stock Based Compensation,100000.0,3696000.0
Deferred Tax,-8903000.0,44000.0
Depreciation And Amortization,2482000.0,8920000.0
Depreciation,2482000.0,8920000.0
Gain Loss On Investment Securities,-27000.0,-173000.0
Gain Loss On Sale Of PPE,984000.0,260000.0
Net Income From Continuing Operations,284000.0,-18872000.0
