,2026-03-31,2025-03-31
Free Cash Flow,-2893000.0,-5975000.0
Repayment Of Debt,-744000.0,-727000.0
Capital Expenditure,-9072000.0,-2190000.0
Interest Paid Supplemental Data,11946500.0,9574400.0
Income Tax Paid Supplemental Data,171700.0,0.0
End Cash Position,28388000.0,10180000.0
Beginning Cash Position,32025000.0,16882000.0
Changes In Cash,-3637000.0,-6702000.0
Financing Cash Flow,-744000.0,-727000.0
Cash Flow From Continuing Financing Activities,-744000.0,-727000.0
Net Issuance Payments Of Debt,-744000.0,-727000.0
Net Long Term Debt Issuance,-744000.0,-727000.0
Long Term Debt Payments,-744000.0,-727000.0
Investing Cash Flow,-9072000.0,-2190000.0
Cash Flow From Continuing Investing Activities,-9072000.0,-2190000.0
Net Intangibles Purchase And Sale,-335000.0,-8000.0
Purchase Of Intangibles,-335000.0,-8000.0
Net PPE Purchase And Sale,-8737000.0,-2182000.0
Purchase Of PPE,-8737000.0,-2182000.0
Operating Cash Flow,6179000.0,-3785000.0
Cash Flow From Continuing Operating Activities,6179000.0,-3785000.0
Change In Working Capital,-10685000.0,-11560000.0
Change In Other Working Capital,-1829000.0,
Change In Other Current Liabilities,-1041000.0,-963000.0
Change In Other Current Assets,-351000.0,-38000.0
Change In Payables And Accrued Expense,-9451000.0,-4752000.0
Change In Accrued Expense,-8269000.0,-7605000.0
Change In Payable,-1182000.0,2853000.0
Change In Account Payable,-1182000.0,2853000.0
Change In Prepaid Assets,-1370000.0,-701000.0
Change In Inventory,3232000.0,-2993000.0
Change In Receivables,125000.0,-2113000.0
Changes In Account Receivables,125000.0,-2113000.0
Other Non Cash Items,1313000.0,1174000.0
Stock Based Compensation,140000.0,111000.0
Provisionand Write Offof Assets,478000.0,289000.0
Asset Impairment Charge,-15000.0,24000.0
Depreciation Amortization Depletion,7214000.0,6969000.0
Depreciation And Amortization,7214000.0,6969000.0
Depreciation,7214000.0,6969000.0
Net Income From Continuing Operations,7734000.0,-792000.0
