,2026-03-31
Free Cash Flow,-144404.0
End Cash Position,1017117.0
Beginning Cash Position,1163614.0
Changes In Cash,-146497.0
Financing Cash Flow,-2093.0
Cash Flow From Continuing Financing Activities,-2093.0
Net Other Financing Charges,-2093.0
Operating Cash Flow,-144404.0
Cash Flow From Continuing Operating Activities,-144404.0
Change In Working Capital,136268.0
Change In Payables And Accrued Expense,126279.0
Change In Accrued Expense,62547.0
Change In Payable,63732.0
Change In Account Payable,-11268.0
Change In Prepaid Assets,9989.0
Other Non Cash Items,-1962225.0
Net Income From Continuing Operations,1681553.0
