,2026-03-31,2025-12-31
Free Cash Flow,-370758.0,-39881.0
Repayment Of Debt,-230000.0,
Issuance Of Debt,85000.0,132181.0
Issuance Of Capital Stock,202596875.0,
End Cash Position,934577.0,69.0
Beginning Cash Position,69.0,0.0
Changes In Cash,934508.0,69.0
Financing Cash Flow,202555266.0,39950.0
Cash Flow From Continuing Financing Activities,202555266.0,39950.0
Net Other Financing Charges,103391.0,-92231.0
Net Common Stock Issuance,202596875.0,
Common Stock Issuance,202596875.0,
Net Issuance Payments Of Debt,-145000.0,132181.0
Net Short Term Debt Issuance,-145000.0,132181.0
Short Term Debt Payments,-230000.0,
Short Term Debt Issuance,85000.0,132181.0
Investing Cash Flow,-201250000.0,
Cash Flow From Continuing Investing Activities,-201250000.0,
Net Other Investing Changes,-201250000.0,
Operating Cash Flow,-370758.0,-39881.0
Cash Flow From Continuing Operating Activities,-370758.0,-39881.0
Change In Working Capital,-181439.0,-3800.0
Change In Payables And Accrued Expense,81000.0,
Change In Prepaid Assets,-262439.0,-3800.0
Other Non Cash Items,-1110810.0,13460.0
Net Income From Continuing Operations,921491.0,-49541.0
