,2026-03-31
Free Cash Flow,-26000.0
Issuance Of Debt,110000.0
End Cash Position,21000.0
Beginning Cash Position,50000.0
Changes In Cash,-29000.0
Financing Cash Flow,-3000.0
Cash Flow From Continuing Financing Activities,-3000.0
Net Other Financing Charges,-113000.0
Net Issuance Payments Of Debt,110000.0
Net Short Term Debt Issuance,110000.0
Short Term Debt Issuance,110000.0
Operating Cash Flow,-26000.0
Cash Flow From Continuing Operating Activities,-26000.0
Change In Working Capital,16000.0
Change In Payables And Accrued Expense,16000.0
Change In Accrued Expense,11000.0
Change In Payable,5000.0
Change In Account Payable,5000.0
Net Income From Continuing Operations,-42000.0
