,2026-03-31
Free Cash Flow,-20202.0
Issuance Of Debt,1435.0
End Cash Position,0.0
Beginning Cash Position,0.0
Financing Cash Flow,20202.0
Cash Flow From Continuing Financing Activities,20202.0
Net Other Financing Charges,18767.0
Net Issuance Payments Of Debt,1435.0
Net Short Term Debt Issuance,1435.0
Short Term Debt Issuance,1435.0
Operating Cash Flow,-20202.0
Cash Flow From Continuing Operating Activities,-20202.0
Change In Working Capital,32160.0
Change In Payables And Accrued Expense,18928.0
Change In Payable,18928.0
Change In Account Payable,18928.0
Change In Prepaid Assets,13232.0
Net Income From Continuing Operations,-52362.0
