,2026-03-31,2025-12-31,2025-06-30,2025-03-31
Free Cash Flow,22000000.0,-6000000.0,53000000.0,54000000.0
Repayment Of Debt,-2000000.0,-1000000.0,-326000000.0,-449000000.0
Issuance Of Debt,0.0,0.0,240000000.0,451000000.0
Capital Expenditure,-56000000.0,-74000000.0,-54000000.0,-65000000.0
End Cash Position,448000000.0,429000000.0,117000000.0,149000000.0
Beginning Cash Position,429000000.0,137000000.0,149000000.0,75000000.0
Changes In Cash,19000000.0,292000000.0,-32000000.0,74000000.0
Financing Cash Flow,-4000000.0,296000000.0,-91000000.0,1000000.0
Cash Flow From Continuing Financing Activities,-4000000.0,296000000.0,-91000000.0,1000000.0
Net Other Financing Charges,-2000000.0,-2000000.0,-5000000.0,-1000000.0
Net Issuance Payments Of Debt,-2000000.0,-1000000.0,-86000000.0,2000000.0
Net Long Term Debt Issuance,-2000000.0,-1000000.0,-86000000.0,2000000.0
Long Term Debt Payments,-2000000.0,-1000000.0,-326000000.0,-449000000.0
Long Term Debt Issuance,0.0,0.0,240000000.0,451000000.0
Investing Cash Flow,-55000000.0,-72000000.0,-48000000.0,-46000000.0
Cash Flow From Continuing Investing Activities,-55000000.0,-72000000.0,-48000000.0,-46000000.0
Net Other Investing Changes,1000000.0,2000000.0,6000000.0,19000000.0
Capital Expenditure Reported,-56000000.0,-74000000.0,-54000000.0,-65000000.0
Operating Cash Flow,78000000.0,68000000.0,107000000.0,119000000.0
Cash Flow From Continuing Operating Activities,78000000.0,68000000.0,107000000.0,119000000.0
Change In Working Capital,-19000000.0,-154000000.0,37000000.0,23000000.0
Change In Other Current Liabilities,-12000000.0,,,-12000000.0
Change In Other Current Assets,-8000000.0,-77000000.0,94000000.0,-2000000.0
Change In Payables And Accrued Expense,1000000.0,,-53000000.0,21000000.0
Change In Payable,1000000.0,,-53000000.0,21000000.0
Change In Account Payable,1000000.0,,,2000000.0
Change In Tax Payable,0.0,,,19000000.0
Change In Income Tax Payable,0.0,,,19000000.0
Change In Receivables,0.0,,,16000000.0
Changes In Account Receivables,0.0,,,16000000.0
Other Non Cash Items,-1000000.0,90000000.0,-1000000.0,-1000000.0
Stock Based Compensation,8000000.0,4000000.0,5000000.0,2000000.0
Asset Impairment Charge,,0.0,,
Deferred Tax,8000000.0,8000000.0,-1000000.0,-5000000.0
Deferred Income Tax,8000000.0,8000000.0,-1000000.0,-5000000.0
Depreciation Amortization Depletion,64000000.0,104000000.0,40000000.0,65000000.0
Depreciation And Amortization,64000000.0,104000000.0,40000000.0,65000000.0
Depreciation,64000000.0,,,65000000.0
Net Income From Continuing Operations,18000000.0,16000000.0,27000000.0,35000000.0
