,2026-03-31,2025-03-31
Free Cash Flow,-5059.0,-173680.0
Repurchase Of Capital Stock,-83659.0,-9266.0
Issuance Of Debt,0.0,225000.0
End Cash Position,5071.0,45438.0
Beginning Cash Position,7140.0,1674.0
Changes In Cash,-2069.0,43764.0
Financing Cash Flow,-83659.0,215734.0
Cash Flow From Continuing Financing Activities,-83659.0,215734.0
Net Common Stock Issuance,-83659.0,-9266.0
Common Stock Payments,-83659.0,-9266.0
Net Issuance Payments Of Debt,0.0,225000.0
Net Long Term Debt Issuance,0.0,225000.0
Long Term Debt Issuance,0.0,225000.0
Investing Cash Flow,86649.0,1710.0
Cash Flow From Continuing Investing Activities,86649.0,1710.0
Net Other Investing Changes,81659.0,-10442.0
Interest Received Cfi,4990.0,12152.0
Operating Cash Flow,-5059.0,-173680.0
Cash Flow From Continuing Operating Activities,-5059.0,-173680.0
Change In Working Capital,262556.0,121132.0
Change In Payables And Accrued Expense,260656.0,106627.0
Change In Accrued Expense,259976.0,106822.0
Change In Payable,680.0,-195.0
Change In Tax Payable,680.0,-195.0
Change In Income Tax Payable,680.0,-195.0
Change In Prepaid Assets,1900.0,14505.0
Other Non Cash Items,-5139.0,-6111.0
Operating Gains Losses,-242715.0,175077.0
Gain Loss On Investment Securities,-242715.0,175077.0
Net Income From Continuing Operations,-19761.0,-463778.0
