,2026-03-31,2025-12-31,2025-09-30
Free Cash Flow,-3441000.0,-7467722.0,-108674.0
Repurchase Of Capital Stock,-7998000.0,,
Repayment Of Debt,-119152000.0,,
Issuance Of Debt,,229618907.0,108674.0
Capital Expenditure,-155000.0,,
End Cash Position,25964000.0,194861459.0,0.0
Beginning Cash Position,194861000.0,0.0,0.0
Changes In Cash,-168897000.0,,
Financing Cash Flow,-129503000.0,723589565.0,108674.0
Cash Flow From Continuing Financing Activities,-129503000.0,723589565.0,108674.0
Net Other Financing Charges,-2353000.0,,
Net Common Stock Issuance,-7998000.0,,
Common Stock Payments,-7998000.0,,
Net Issuance Payments Of Debt,-119152000.0,227729345.0,108674.0
Net Short Term Debt Issuance,,,108674.0
Short Term Debt Issuance,,,108674.0
Net Long Term Debt Issuance,-119152000.0,227729345.0,108674.0
Long Term Debt Payments,-119152000.0,,
Long Term Debt Issuance,,229618907.0,108674.0
Investing Cash Flow,-36108000.0,,
Cash Flow From Continuing Investing Activities,-36108000.0,,
Net Investment Purchase And Sale,-35953000.0,,
Purchase Of Investment,-35953000.0,,
Net PPE Purchase And Sale,-155000.0,,
Purchase Of PPE,-155000.0,,
Operating Cash Flow,-3286000.0,-7383140.0,-108674.0
Cash Flow From Continuing Operating Activities,-3286000.0,-7383140.0,-108674.0
Change In Working Capital,133000.0,-459687.0,220797.0
Change In Other Working Capital,-1000.0,,
Change In Other Current Liabilities,-27000.0,,
Change In Payables And Accrued Expense,44000.0,1721168.0,220797.0
Change In Payable,44000.0,1721168.0,220797.0
Change In Account Payable,-149000.0,1709610.0,120374.0
Change In Tax Payable,193000.0,,
Change In Income Tax Payable,193000.0,,
Change In Prepaid Assets,72000.0,,
Change In Receivables,45000.0,,
Other Non Cash Items,1100000.0,,
Stock Based Compensation,3540000.0,,
Unrealized Gain Loss On Investment Securities,104629000.0,,
Depreciation Amortization Depletion,90000.0,,
Depreciation And Amortization,90000.0,,
Depreciation,90000.0,,
Operating Gains Losses,-5019000.0,,
Gain Loss On Investment Securities,914000.0,,
Net Income From Continuing Operations,-107759000.0,-28646033.0,-329471.0
