,2026-03-31
Free Cash Flow,-478493.0
Repayment Of Debt,-22844.0
End Cash Position,524610.0
Beginning Cash Position,1025947.0
Changes In Cash,-501337.0
Financing Cash Flow,-22844.0
Cash Flow From Continuing Financing Activities,-22844.0
Net Issuance Payments Of Debt,-22844.0
Net Long Term Debt Issuance,-22844.0
Long Term Debt Payments,-22844.0
Operating Cash Flow,-478493.0
Cash Flow From Continuing Operating Activities,-478493.0
Change In Working Capital,-205797.0
Change In Other Working Capital,-33500.0
Change In Payables And Accrued Expense,94559.0
Change In Accrued Expense,94559.0
Change In Prepaid Assets,-266856.0
Other Non Cash Items,-880040.0
Net Income From Continuing Operations,607344.0
