,2026-03-31,2025-12-31
Free Cash Flow,-146131.0,-22053.0
Issuance Of Debt,59056.0,58998.0
End Cash Position,933390.0,0.0
Beginning Cash Position,0.0,0.0
Financing Cash Flow,101079521.0,22053.0
Cash Flow From Continuing Financing Activities,101079521.0,22053.0
Net Other Financing Charges,-321791.0,-36945.0
Net Issuance Payments Of Debt,-100318.0,58998.0
Net Short Term Debt Issuance,-100318.0,58998.0
Short Term Debt Issuance,59056.0,58998.0
Operating Cash Flow,-146131.0,-22053.0
Cash Flow From Continuing Operating Activities,-146131.0,-22053.0
Change In Working Capital,-46885.0,30900.0
Change In Payables And Accrued Expense,3568.0,30900.0
Change In Accrued Expense,,30900.0
Net Income From Continuing Operations,725986.0,-52953.0
