,2026-04-30,2026-01-31,2025-04-30,2025-01-31
Free Cash Flow,-1834010.0,-1541100.0,-433512.0,-249361.0
Issuance Of Capital Stock,1938052.0,3005299.0,0.0,550000.0
Capital Expenditure,-30085.0,-4744.0,-4760.0,-13508.0
Interest Paid Supplemental Data,0.0,0.0,18916.0,0.0
Income Tax Paid Supplemental Data,0.0,0.0,0.0,0.0
End Cash Position,7302038.0,6709151.0,79436.0,612273.0
Beginning Cash Position,6709151.0,4834120.0,612273.0,314616.0
Effect Of Exchange Rate Changes,,0.0,,-2982.0
Changes In Cash,592887.0,1875031.0,-535819.0,300639.0
Financing Cash Flow,2426899.0,3416131.0,-102307.0,550000.0
Cash Flow From Continuing Financing Activities,2426899.0,3416131.0,-102307.0,550000.0
Net Other Financing Charges,60401.0,-18224.0,,
Proceeds From Stock Option Exercised,428446.0,429056.0,0.0,0.0
Net Common Stock Issuance,1938052.0,3005299.0,0.0,550000.0
Common Stock Issuance,1938052.0,3005299.0,0.0,550000.0
Investing Cash Flow,-30087.0,-4744.0,-4760.0,-13508.0
Cash Flow From Continuing Investing Activities,-30087.0,-4744.0,-4760.0,-13508.0
Net PPE Purchase And Sale,-30085.0,-4744.0,-4760.0,-13508.0
Purchase Of PPE,-30085.0,-4744.0,-4760.0,-13508.0
Operating Cash Flow,-1803925.0,-1536356.0,-428752.0,-235853.0
Cash Flow From Continuing Operating Activities,-1803925.0,-1536356.0,-428752.0,-235853.0
Change In Working Capital,181218.0,-13447.0,27586.0,4138.0
Change In Other Current Liabilities,0.0,44700.0,66000.0,0.0
Change In Payables And Accrued Expense,127067.0,67001.0,68612.0,42811.0
Change In Payable,127067.0,67001.0,68612.0,42811.0
Change In Account Payable,127067.0,143001.0,68612.0,42811.0
Change In Prepaid Assets,56322.0,-128185.0,-100325.0,-33412.0
Change In Receivables,-2171.0,3037.0,-6701.0,-5261.0
Other Non Cash Items,307720.0,186733.0,64311.0,-16490.0
Stock Based Compensation,,0.0,,66000.0
Depreciation Amortization Depletion,11420.0,6440.0,3401.0,563.0
Depreciation And Amortization,11420.0,6440.0,3401.0,563.0
Amortization Cash Flow,8592.0,4343.0,1133.0,0.0
Amortization Of Intangibles,8592.0,4343.0,1133.0,0.0
Depreciation,2828.0,2097.0,2268.0,563.0
Operating Gains Losses,0.0,2741.0,,
Gain Loss On Sale Of PPE,0.0,2741.0,0.0,0.0
Net Income From Continuing Operations,-2304283.0,-1718823.0,-458050.0,-290064.0
