,2026-03-31,2025-03-31
Free Cash Flow,-47546000.0,-282000.0
Issuance Of Capital Stock,47546000.0,282000.0
End Cash Position,1000.0,1000.0
Beginning Cash Position,1000.0,1000.0
Financing Cash Flow,47546000.0,282000.0
Cash Flow From Continuing Financing Activities,47546000.0,282000.0
Net Common Stock Issuance,47546000.0,282000.0
Common Stock Issuance,47546000.0,282000.0
Operating Cash Flow,-47546000.0,-282000.0
Cash Flow From Continuing Operating Activities,-47546000.0,-282000.0
Net Income From Continuing Operations,-47546000.0,-282000.0
