,2026-03-31,2025-12-31,2025-03-31,2024-12-31
Free Cash Flow,-33241000.0,-20131000.0,-11103000.0,-8481000.0
Capital Expenditure,-2098000.0,-879000.0,,-218000.0
End Cash Position,268264000.0,0.0,0.0,0.0
Beginning Cash Position,0.0,0.0,0.0,0.0
Changes In Cash,268264000.0,,,
Financing Cash Flow,301505000.0,20131000.0,11103000.0,8481000.0
Cash Flow From Continuing Financing Activities,301505000.0,20131000.0,11103000.0,8481000.0
Net Other Financing Charges,301505000.0,20131000.0,11103000.0,8481000.0
Investing Cash Flow,-2098000.0,-879000.0,0.0,-218000.0
Cash Flow From Continuing Investing Activities,-2098000.0,-879000.0,0.0,-218000.0
Net PPE Purchase And Sale,-2098000.0,-879000.0,0.0,-218000.0
Purchase Of PPE,-2098000.0,-879000.0,0.0,-218000.0
Operating Cash Flow,-31143000.0,-19252000.0,-11103000.0,-8263000.0
Cash Flow From Continuing Operating Activities,-31143000.0,-19252000.0,-11103000.0,-8263000.0
Change In Working Capital,-27715000.0,5760000.0,-4973000.0,-3229000.0
Change In Other Working Capital,-5664000.0,-1736000.0,-2532000.0,-3917000.0
Change In Other Current Liabilities,-574000.0,0.0,-574000.0,252000.0
Change In Other Current Assets,1208000.0,-1310000.0,-2223000.0,
Change In Payables And Accrued Expense,-6642000.0,9079000.0,1284000.0,280000.0
Change In Accrued Expense,-3051000.0,5270000.0,1247000.0,68000.0
Change In Payable,-3591000.0,3809000.0,37000.0,212000.0
Change In Account Payable,-3591000.0,3809000.0,37000.0,212000.0
Change In Prepaid Assets,-1043000.0,-273000.0,-928000.0,68000.0
Change In Receivables,-15000000.0,0.0,0.0,0.0
Changes In Account Receivables,-15000000.0,0.0,0.0,0.0
Other Non Cash Items,841000.0,276000.0,56000.0,
Stock Based Compensation,12213000.0,3552000.0,1210000.0,1090000.0
Deferred Tax,,34000.0,,5265000.0
Deferred Income Tax,,34000.0,,5265000.0
Depreciation Amortization Depletion,151000.0,122000.0,53000.0,58000.0
Depreciation And Amortization,151000.0,122000.0,53000.0,58000.0
Depreciation,151000.0,122000.0,53000.0,58000.0
Net Income From Continuing Operations,-16633000.0,-29136000.0,-7449000.0,-11512000.0
