,2026-03-31
Free Cash Flow,-237412.0
End Cash Position,0.0
Beginning Cash Position,0.0
Financing Cash Flow,237412.0
Cash Flow From Continuing Financing Activities,237412.0
Net Other Financing Charges,237412.0
Operating Cash Flow,-237412.0
Cash Flow From Continuing Operating Activities,-237412.0
Change In Working Capital,-53575.0
Change In Payables And Accrued Expense,9325.0
Change In Prepaid Assets,-62900.0
Operating Gains Losses,79656.0
Gain Loss On Investment Securities,79656.0
Net Income From Continuing Operations,-263493.0
