,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,23182964.0,19740760.0,19740760.0
Share Issued,23182964.0,19740760.0,19740760.0
Net Debt,442520020.0,446136297.0,430391067.0
Total Debt,454939899.0,456020269.0,441103843.0
Tangible Book Value,-453971266.0,-2335705081.0,-2263421920.0
Invested Capital,-1870879.0,-1883821795.0,-1825379158.0
Working Capital,-113201510.0,-164513921.0,-141648058.0
Net Tangible Assets,-453971266.0,-2335705081.0,-2263421920.0
Capital Lease Obligations,2839512.0,4136983.0,3061081.0
Common Stock Equity,-453971266.0,-2335705081.0,-2263421920.0
Total Capitalization,-84579825.0,-1973614222.0,-1898331061.0
Total Equity Gross Minority Interest,-481296661.0,-2162057738.0,-2094732520.0
Minority Interest,-27325395.0,173647343.0,168689400.0
Stockholders Equity,-453971266.0,-2335705081.0,-2263421920.0
Other Equity Interest,-2186.0,-1608.0,-1608.0
Gains Losses Not Affecting Retained Earnings,-1752460.0,1875.0,-5231.0
Other Equity Adjustments,-1752460.0,1875.0,-5231.0
Retained Earnings,-2475998594.0,-2335709744.0,-2263419477.0
Additional Paid In Capital,2023765569.0,,0.0
Capital Stock,16405.0,4396.0,4396.0
Common Stock,16405.0,4396.0,4396.0
Total Liabilities Net Minority Interest,588854087.0,2205929687.0,2140960106.0
Total Non Current Liabilities Net Minority Interest,370685951.0,2006935913.0,1961814635.0
Preferred Securities Outside Stock Equity,0.0,1642498390.0,1595051558.0
Long Term Debt And Capital Lease Obligation,370685951.0,364437523.0,366763077.0
Long Term Capital Lease Obligation,1294510.0,2346664.0,1672218.0
Long Term Debt,369391441.0,362090859.0,365090859.0
Current Liabilities,218168136.0,198993774.0,179145471.0
Other Current Liabilities,,,2080557.0
Current Deferred Liabilities,1591131.0,942724.0,1756046.0
Current Deferred Revenue,1591131.0,942724.0,1756046.0
Current Debt And Capital Lease Obligation,84253948.0,91582746.0,74340766.0
Current Capital Lease Obligation,1545002.0,1790319.0,1388863.0
Current Debt,82708946.0,89792427.0,72951903.0
Other Current Borrowings,29708946.0,55084094.0,37993570.0
Line Of Credit,53000000.0,34708333.0,34958333.0
Current Provisions,,237580.0,
Payables And Accrued Expenses,132323057.0,106230724.0,100968102.0
Current Accrued Expenses,59407371.0,11564144.0,46461939.0
Interest Payable,44826713.0,,36748973.0
Payables,72915686.0,94666580.0,54506163.0
Other Payable,26295354.0,26086697.0,28264287.0
Dueto Related Parties Current,1140151.0,42403073.0,80037.0
Total Tax Payable,658983.0,998295.0,815462.0
Accounts Payable,44821198.0,25178515.0,25346377.0
Total Assets,107557426.0,43871949.0,46227586.0
Total Non Current Assets,2590800.0,9392096.0,8730173.0
Other Non Current Assets,1344232.0,1307832.0,831132.0
Non Current Deferred Assets,0.0,7690157.0,7437679.0
Net PPE,1246568.0,394107.0,461362.0
Accumulated Depreciation,-10883888.0,,-10818633.0
Gross PPE,12130456.0,,11279995.0
Leases,4758936.0,,4758936.0
Machinery Furniture Equipment,7371520.0,,6521059.0
Properties,0.0,,0.0
Current Assets,104966626.0,34479853.0,37497413.0
Restricted Cash,,,0.0
Prepaid Assets,62285003.0,2921966.0,5705999.0
Inventory,8280145.0,6447637.0,9165973.0
Inventories Adjustments Allowances,-1883635.0,,-494459.0
Finished Goods,10163780.0,,9660432.0
Receivables,24821111.0,19363261.0,14973746.0
Receivables Adjustments Allowances,-2270607.0,,-2677828.0
Other Receivables,622002.0,5231722.0,538137.0
Duefrom Related Parties Current,3637039.0,7418671.0,5632987.0
Taxes Receivable,3560759.0,,2681583.0
Accounts Receivable,19271918.0,6712868.0,8798867.0
Allowance For Doubtful Accounts Receivable,-662349.0,,-806348.0
Gross Accounts Receivable,19934267.0,6712868.0,9605215.0
Cash Cash Equivalents And Short Term Investments,9580367.0,5746989.0,7651695.0
Cash And Cash Equivalents,9580367.0,5746989.0,7651695.0
