,2025-06-30,2024-12-31
Ordinary Shares Number,101743325.0,72672956.0
Share Issued,101743325.0,72672956.0
Total Debt,1562000.0,1561000.0
Tangible Book Value,5931000.0,6066000.0
Invested Capital,5931000.0,6066000.0
Working Capital,5171000.0,6103000.0
Net Tangible Assets,5931000.0,6066000.0
Capital Lease Obligations,1562000.0,1561000.0
Common Stock Equity,5931000.0,6066000.0
Total Capitalization,5931000.0,6066000.0
Total Equity Gross Minority Interest,5625000.0,6730000.0
Minority Interest,-306000.0,664000.0
Stockholders Equity,5931000.0,6066000.0
Retained Earnings,-137053000.0,-131028000.0
Additional Paid In Capital,142984000.0,137094000.0
Capital Stock,0.0,0.0
Common Stock,0.0,0.0
Total Liabilities Net Minority Interest,2924000.0,3015000.0
Total Non Current Liabilities Net Minority Interest,1214000.0,1272000.0
Long Term Debt And Capital Lease Obligation,1214000.0,1272000.0
Long Term Capital Lease Obligation,1214000.0,1272000.0
Current Liabilities,1710000.0,1743000.0
Current Debt And Capital Lease Obligation,348000.0,289000.0
Current Capital Lease Obligation,348000.0,289000.0
Pensionand Other Post Retirement Benefit Plans Current,,998000.0
Payables And Accrued Expenses,1362000.0,456000.0
Current Accrued Expenses,,76000.0
Payables,1362000.0,380000.0
Other Payable,1208000.0,83000.0
Accounts Payable,154000.0,297000.0
Total Assets,8549000.0,9745000.0
Total Non Current Assets,1668000.0,1899000.0
Net PPE,1668000.0,1899000.0
Accumulated Depreciation,,-1510000.0
Gross PPE,1668000.0,3409000.0
Leases,,502000.0
Other Properties,1668000.0,1576000.0
Machinery Furniture Equipment,,1331000.0
Properties,,0.0
Current Assets,6881000.0,7846000.0
Restricted Cash,50000.0,100000.0
Prepaid Assets,,232000.0
Receivables,464000.0,361000.0
Other Receivables,431000.0,248000.0
Accounts Receivable,33000.0,113000.0
Cash Cash Equivalents And Short Term Investments,6367000.0,7153000.0
Other Short Term Investments,25000.0,71000.0
Cash And Cash Equivalents,6342000.0,7082000.0
