,2026-03-31
Ordinary Shares Number,404330766.0
Share Issued,404330766.0
Net Debt,2413577000.0
Total Debt,2717317000.0
Tangible Book Value,-1988693000.0
Invested Capital,2652495000.0
Working Capital,688787000.0
Net Tangible Assets,-1988693000.0
Capital Lease Obligations,64822000.0
Common Stock Equity,3183274000.0
Total Capitalization,5808666000.0
Total Equity Gross Minority Interest,3183274000.0
Stockholders Equity,3183274000.0
Total Liabilities Net Minority Interest,3456455000.0
Total Non Current Liabilities Net Minority Interest,3201288000.0
Other Non Current Liabilities,136283000.0
Non Current Deferred Liabilities,385492000.0
Non Current Deferred Revenue,1414000.0
Non Current Deferred Taxes Liabilities,384078000.0
Long Term Debt And Capital Lease Obligation,2679513000.0
Long Term Capital Lease Obligation,54121000.0
Long Term Debt,2625392000.0
Current Liabilities,255167000.0
Other Current Liabilities,40966000.0
Current Deferred Liabilities,23876000.0
Current Deferred Revenue,23876000.0
Current Debt And Capital Lease Obligation,37804000.0
Current Capital Lease Obligation,10701000.0
Current Debt,27103000.0
Other Current Borrowings,27103000.0
Pensionand Other Post Retirement Benefit Plans Current,59145000.0
Payables And Accrued Expenses,93376000.0
Current Accrued Expenses,17153000.0
Interest Payable,1126000.0
Payables,76223000.0
Total Tax Payable,18194000.0
Accounts Payable,58029000.0
Total Assets,6639729000.0
Total Non Current Assets,5695775000.0
Other Non Current Assets,50634000.0
Goodwill And Other Intangible Assets,5171967000.0
Other Intangible Assets,2415087000.0
Goodwill,2756880000.0
Net PPE,473174000.0
Accumulated Depreciation,-133049000.0
Gross PPE,606223000.0
Leases,34867000.0
Construction In Progress,22272000.0
Other Properties,64840000.0
Machinery Furniture Equipment,293321000.0
Buildings And Improvements,124163000.0
Land And Improvements,66760000.0
Properties,0.0
Current Assets,943954000.0
Other Current Assets,33747000.0
Prepaid Assets,22231000.0
Inventory,325995000.0
Finished Goods,76135000.0
Work In Process,126689000.0
Raw Materials,123171000.0
Receivables,323063000.0
Other Receivables,78786000.0
Accounts Receivable,244277000.0
Allowance For Doubtful Accounts Receivable,-2903000.0
Gross Accounts Receivable,247180000.0
Cash Cash Equivalents And Short Term Investments,238918000.0
Cash And Cash Equivalents,238918000.0
