,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,26985468.0,21933797.0,22138886.0
Share Issued,26985468.0,21933797.0,22138886.0
Net Debt,3388966.0,3837232.0,5245447.0
Total Debt,5319975.0,6530512.0,6505893.0
Tangible Book Value,3578630.0,4050830.0,2099243.0
Invested Capital,8604927.0,10258906.0,8354299.0
Working Capital,1484546.0,2329824.0,366071.0
Net Tangible Assets,3578630.0,4050830.0,2099243.0
Capital Lease Obligations,301991.0,331591.0,260162.0
Common Stock Equity,3586943.0,4059985.0,2108568.0
Total Capitalization,5510738.0,6970044.0,5014681.0
Total Equity Gross Minority Interest,3699554.0,4216997.0,2260197.0
Minority Interest,112611.0,157012.0,151629.0
Stockholders Equity,3586943.0,4059985.0,2108568.0
Gains Losses Not Affecting Retained Earnings,2454338.0,85598664.0,85422007.0
Other Equity Adjustments,2454338.0,85598664.0,85422007.0
Retained Earnings,-98474450.0,-86011997.0,-83313648.0
Additional Paid In Capital,99606785.0,4473096.0,0.0
Capital Stock,270.0,222.0,209.0
Common Stock,270.0,222.0,209.0
Total Liabilities Net Minority Interest,7568354.0,10172351.0,8013010.0
Total Non Current Liabilities Net Minority Interest,2260215.0,3334130.0,3432484.0
Other Non Current Liabilities,,,173551.0
Derivative Product Liabilities,,,173551.0
Non Current Deferred Liabilities,136053.0,194157.0,182096.0
Non Current Deferred Taxes Liabilities,136053.0,194157.0,182096.0
Long Term Debt And Capital Lease Obligation,2124162.0,3139973.0,3076837.0
Long Term Capital Lease Obligation,200367.0,229914.0,170724.0
Long Term Debt,1923795.0,2910059.0,2906113.0
Current Liabilities,5308139.0,6838221.0,4580526.0
Other Current Liabilities,,1786239.0,1.0
Current Debt And Capital Lease Obligation,3195813.0,3390539.0,3429056.0
Current Capital Lease Obligation,101624.0,101677.0,89438.0
Current Debt,3094189.0,3288862.0,3339618.0
Other Current Borrowings,3094189.0,3288862.0,3339618.0
Payables And Accrued Expenses,2112326.0,1661443.0,1151470.0
Current Accrued Expenses,652660.0,1111632.0,419650.0
Payables,1459666.0,549811.0,731820.0
Other Payable,428416.0,195773.0,638183.0
Total Tax Payable,186901.0,194791.0,60282.0
Accounts Payable,844349.0,159247.0,33355.0
Total Assets,11267908.0,14389348.0,10273207.0
Total Non Current Assets,4475223.0,5221303.0,5326610.0
Non Current Prepaid Assets,0.0,663338.0,323514.0
Non Current Deferred Assets,0.0,0.0,449110.0
Duefrom Related Parties Non Current,316410.0,,432017.0
Non Current Accounts Receivable,316410.0,,432017.0
Investments And Advances,71561.0,74108.0,69505.0
Investmentin Financial Assets,71561.0,74108.0,69505.0
Available For Sale Securities,71561.0,74108.0,69505.0
Goodwill And Other Intangible Assets,8313.0,9155.0,9325.0
Other Intangible Assets,8313.0,9155.0,9325.0
Net PPE,4078939.0,4474702.0,4043139.0
Accumulated Depreciation,-1825090.0,-1483794.0,-1939283.0
Gross PPE,5904029.0,5958496.0,5982422.0
Other Properties,2178107.0,2252732.0,2323647.0
Machinery Furniture Equipment,704396.0,668387.0,783643.0
Buildings And Improvements,3021526.0,3037377.0,2875132.0
Properties,0.0,0.0,0.0
Current Assets,6792685.0,9168045.0,4946597.0
Other Current Assets,,,-1.0
Prepaid Assets,136581.0,2236203.0,56215.0
Receivables,5027086.0,4570153.0,3890098.0
Other Receivables,75165.0,49002.0,35353.0
Duefrom Related Parties Current,134925.0,,121167.0
Loans Receivable,,517714.0,553184.0
Accounts Receivable,4816996.0,4003437.0,3733578.0
Allowance For Doubtful Accounts Receivable,-1026591.0,-1147683.0,-968322.0
Gross Accounts Receivable,5843587.0,5151120.0,4701900.0
Cash Cash Equivalents And Short Term Investments,1629018.0,2361689.0,1000284.0
Cash And Cash Equivalents,1629018.0,2361689.0,1000284.0
Cash Financial,1629018.0,2361689.0,1000284.0
