,2026-03-31,2025-09-30,2025-07-31
Ordinary Shares Number,43125000.0,37500000.0,37500000.0
Share Issued,43125000.0,37500000.0,37500000.0
Net Debt,,122363.0,12420.0
Total Debt,,122363.0,12420.0
Tangible Book Value,334999806.0,-24311.0,5994.0
Invested Capital,334999806.0,98052.0,18414.0
Working Capital,899475.0,,-12606.0
Net Tangible Assets,334999806.0,-24311.0,5994.0
Common Stock Equity,334999806.0,-24311.0,5994.0
Total Capitalization,334999806.0,-24311.0,5994.0
Total Equity Gross Minority Interest,334999806.0,-24311.0,5994.0
Stockholders Equity,334999806.0,-24311.0,5994.0
Retained Earnings,-13755118.0,-49311.0,-19006.0
Additional Paid In Capital,0.0,24137.0,24137.0
Capital Stock,348754924.0,863.0,863.0
Common Stock,348754924.0,863.0,863.0
Preferred Stock,0.0,0.0,0.0
Total Liabilities Net Minority Interest,14856298.0,276160.0,22606.0
Total Non Current Liabilities Net Minority Interest,14700000.0,0.0,0.0
Tradeand Other Payables Non Current,14700000.0,,
Current Liabilities,156298.0,276160.0,22606.0
Current Debt And Capital Lease Obligation,,122363.0,12420.0
Current Debt,,122363.0,12420.0
Other Current Borrowings,,122363.0,12420.0
Payables And Accrued Expenses,156298.0,153797.0,10186.0
Current Accrued Expenses,111459.0,153797.0,10186.0
Payables,44839.0,,
Dueto Related Parties Current,44839.0,,
Total Assets,349856104.0,251849.0,28600.0
Total Non Current Assets,348800331.0,251849.0,18600.0
Other Non Current Assets,348754061.0,,
Non Current Prepaid Assets,46270.0,,
Non Current Deferred Assets,,251849.0,18600.0
Current Assets,1055773.0,,10000.0
Prepaid Assets,142944.0,,10000.0
Cash Cash Equivalents And Short Term Investments,912829.0,,
Cash And Cash Equivalents,912829.0,,
Cash Financial,912829.0,,
