,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,21950000.0,19250000.0,19250000.0
Share Issued,21950000.0,19250000.0,19250000.0
Net Debt,2853827.0,2427232.0,1890504.0
Total Debt,4960173.0,3665086.0,3406260.0
Tangible Book Value,8934817.0,6353962.0,6006866.0
Invested Capital,12401690.0,9369963.0,8641636.0
Working Capital,5087129.0,2961684.0,2618599.0
Net Tangible Assets,8934817.0,6353962.0,6006866.0
Capital Lease Obligations,1690254.0,849698.0,970284.0
Common Stock Equity,9131771.0,6554575.0,6205660.0
Total Capitalization,11083323.0,8471682.0,8017791.0
Total Equity Gross Minority Interest,9136027.0,6547982.0,6205660.0
Minority Interest,4256.0,-6593.0,0.0
Stockholders Equity,9131771.0,6554575.0,6205660.0
Other Equity Interest,-180.0,-180.0,-180.0
Gains Losses Not Affecting Retained Earnings,537424.0,271773.0,-111866.0
Other Equity Adjustments,537424.0,271773.0,-111866.0
Retained Earnings,-1036635.0,1613420.0,1648144.0
Additional Paid In Capital,9630942.0,4669382.0,4669382.0
Capital Stock,220.0,180.0,180.0
Common Stock,220.0,180.0,180.0
Total Liabilities Net Minority Interest,7601123.0,5243650.0,4959217.0
Total Non Current Liabilities Net Minority Interest,3009621.0,2331811.0,2180893.0
Non Current Deferred Liabilities,94786.0,115322.0,90279.0
Non Current Deferred Taxes Liabilities,94786.0,115322.0,90279.0
Long Term Debt And Capital Lease Obligation,2914835.0,2216489.0,2090614.0
Long Term Capital Lease Obligation,963283.0,299382.0,278483.0
Long Term Debt,1951552.0,1917107.0,1812131.0
Current Liabilities,4591502.0,2911839.0,2778324.0
Other Current Liabilities,1172923.0,53265.0,33985.0
Current Deferred Liabilities,154800.0,35867.0,36952.0
Current Deferred Revenue,154800.0,35867.0,36952.0
Current Debt And Capital Lease Obligation,2045338.0,1448597.0,1315646.0
Current Capital Lease Obligation,726971.0,550316.0,691801.0
Current Debt,1318367.0,898281.0,623845.0
Other Current Borrowings,146055.0,140632.0,117495.0
Line Of Credit,420792.0,405953.0,458275.0
Current Notes Payable,751520.0,351696.0,48075.0
Payables And Accrued Expenses,1218441.0,1374110.0,1391741.0
Current Accrued Expenses,381434.0,539727.0,447688.0
Payables,837007.0,834383.0,944053.0
Other Payable,155482.0,142553.0,99999.0
Dueto Related Parties Current,380056.0,383016.0,177075.0
Total Tax Payable,52350.0,43767.0,104675.0
Income Tax Payable,15497.0,7651.0,18133.0
Accounts Payable,249119.0,265047.0,562304.0
Total Assets,16737150.0,11791632.0,11164877.0
Total Non Current Assets,7058519.0,5918109.0,5767954.0
Other Non Current Assets,216715.0,60828.0,57275.0
Duefrom Related Parties Non Current,802098.0,773051.0,727891.0
Non Current Accounts Receivable,802098.0,773051.0,727891.0
Investments And Advances,72810.0,159555.0,186322.0
Long Term Equity Investment,72810.0,159555.0,186322.0
Investmentsin Associatesat Cost,72810.0,,186322.0
Goodwill And Other Intangible Assets,196954.0,200613.0,198794.0
Other Intangible Assets,196954.0,200613.0,198794.0
Net PPE,5769942.0,4724062.0,4597672.0
Accumulated Depreciation,-4182948.0,-4463742.0,-3621758.0
Gross PPE,9952890.0,9187804.0,8219430.0
Leases,829128.0,740094.0,619912.0
Other Properties,5268140.0,4752864.0,4133530.0
Machinery Furniture Equipment,279392.0,248122.0,220617.0
Buildings And Improvements,2631141.0,2535860.0,2387718.0
Land And Improvements,945089.0,910864.0,857653.0
Properties,0.0,0.0,0.0
Current Assets,9678631.0,5873523.0,5396923.0
Other Current Assets,21940.0,42743.0,29201.0
Current Deferred Assets,,243267.0,
Prepaid Assets,741508.0,968558.0,698951.0
Inventory,307088.0,295726.0,311425.0
Finished Goods,206239.0,199337.0,186648.0
Raw Materials,100849.0,96389.0,124777.0
Receivables,8192003.0,3935073.0,3811874.0
Duefrom Related Parties Current,5272215.0,2091087.0,2697519.0
Loans Receivable,1971676.0,1189607.0,531715.0
Accounts Receivable,948112.0,654379.0,582640.0
Allowance For Doubtful Accounts Receivable,-308639.0,-130725.0,-138326.0
Gross Accounts Receivable,1256751.0,785104.0,720966.0
Cash Cash Equivalents And Short Term Investments,416092.0,388156.0,545472.0
Cash And Cash Equivalents,416092.0,388156.0,545472.0
