,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-05-31
Ordinary Shares Number,8427500.0,8427500.0,8427500.0,8427500.0,8427500.0
Share Issued,8427500.0,8427500.0,8427500.0,8427500.0,8427500.0
Tangible Book Value,60972973.0,60932260.0,37426.0,99209.0,71825.0
Invested Capital,60972973.0,60932260.0,37426.0,99209.0,71825.0
Working Capital,12399.0,503036.0,37426.0,99209.0,71825.0
Net Tangible Assets,60972973.0,60932260.0,37426.0,99209.0,71825.0
Common Stock Equity,60972973.0,60932260.0,37426.0,99209.0,71825.0
Total Capitalization,60972973.0,60932260.0,37426.0,99209.0,71825.0
Total Equity Gross Minority Interest,60972973.0,60932260.0,37426.0,99209.0,71825.0
Stockholders Equity,60972973.0,60932260.0,37426.0,99209.0,71825.0
Retained Earnings,12217.0,166032.0,-163908.0,-102125.0,-81175.0
Additional Paid In Capital,0.0,336822.0,201148.0,201148.0,152817.0
Capital Stock,60960756.0,60429406.0,186.0,186.0,183.0
Common Stock,60960756.0,60429406.0,186.0,186.0,183.0
Preferred Stock,0.0,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,334185.0,85186.0,2156996.0,182205.0,147055.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,0.0,0.0
Current Liabilities,334185.0,85186.0,2156996.0,182205.0,147055.0
Payables And Accrued Expenses,334185.0,85186.0,2156996.0,182205.0,147055.0
Current Accrued Expenses,81198.0,85186.0,10000.0,10000.0,10000.0
Payables,252987.0,,2146996.0,172205.0,137055.0
Dueto Related Parties Current,,0.0,2141544.0,169205.0,132426.0
Accounts Payable,252987.0,,5452.0,3000.0,4629.0
Total Assets,61307158.0,61017446.0,2194422.0,281414.0,218880.0
Total Non Current Assets,60960574.0,60429224.0,0.0,0.0,0.0
Other Non Current Assets,60960574.0,60429224.0,,,
Current Assets,346584.0,588222.0,2194422.0,281414.0,218880.0
Current Deferred Assets,,0.0,290301.0,277310.0,214880.0
Prepaid Assets,86699.0,129174.0,2133.0,2133.0,2488.0
Receivables,,,,604.0,
Other Receivables,,,,604.0,
Cash Cash Equivalents And Short Term Investments,259885.0,459048.0,1901988.0,1367.0,1512.0
Cash And Cash Equivalents,259885.0,459048.0,1901988.0,1367.0,1512.0
Cash Financial,,,1901988.0,1367.0,1512.0
