,2025-03-31
Ordinary Shares Number,21600000.0
Share Issued,21600000.0
Total Debt,25054.0
Tangible Book Value,3110126.0
Invested Capital,3110126.0
Working Capital,2781514.0
Net Tangible Assets,3110126.0
Capital Lease Obligations,25054.0
Common Stock Equity,3110126.0
Total Capitalization,3110126.0
Total Equity Gross Minority Interest,3110126.0
Stockholders Equity,3110126.0
Retained Earnings,2734862.0
Additional Paid In Capital,375064.0
Capital Stock,200.0
Common Stock,200.0
Total Liabilities Net Minority Interest,2259594.0
Total Non Current Liabilities Net Minority Interest,20402.0
Employee Benefits,6625.0
Non Current Pension And Other Postretirement Benefit Plans,6625.0
Long Term Debt And Capital Lease Obligation,13777.0
Long Term Capital Lease Obligation,13777.0
Current Liabilities,2239192.0
Current Debt And Capital Lease Obligation,11277.0
Current Capital Lease Obligation,11277.0
Pensionand Other Post Retirement Benefit Plans Current,83096.0
Payables And Accrued Expenses,2144819.0
Current Accrued Expenses,613870.0
Payables,1530949.0
Dueto Related Parties Current,157257.0
Total Tax Payable,23060.0
Income Tax Payable,23060.0
Accounts Payable,1350632.0
Total Assets,5369720.0
Total Non Current Assets,349014.0
Non Current Deferred Assets,7104.0
Non Current Deferred Taxes Assets,7104.0
Non Current Accounts Receivable,273509.0
Net PPE,68401.0
Accumulated Depreciation,-109964.0
Gross PPE,178365.0
Other Properties,99796.0
Machinery Furniture Equipment,78569.0
Current Assets,5020706.0
Current Deferred Assets,947587.0
Receivables,1696757.0
Other Receivables,65233.0
Accounts Receivable,1631524.0
Allowance For Doubtful Accounts Receivable,-28287.0
Gross Accounts Receivable,1659811.0
Cash Cash Equivalents And Short Term Investments,2376362.0
Cash And Cash Equivalents,2376362.0
Cash Financial,2376362.0
