,2025-09-30,2025-03-31
Ordinary Shares Number,14299182.0,14279182.0
Share Issued,14299182.0,14279182.0
Net Debt,15856298.0,4517730.0
Total Debt,22339787.0,13723282.0
Tangible Book Value,71300769.0,71414512.0
Invested Capital,97854092.0,89319119.0
Working Capital,45980108.0,52019285.0
Net Tangible Assets,71300769.0,71414512.0
Common Stock Equity,75514305.0,75595837.0
Total Capitalization,83539309.0,78346399.0
Total Equity Gross Minority Interest,75812307.0,75889138.0
Minority Interest,298002.0,293301.0
Stockholders Equity,75514305.0,75595837.0
Gains Losses Not Affecting Retained Earnings,1843812.0,457314.0
Other Equity Adjustments,1843812.0,457314.0
Retained Earnings,6308532.0,7805962.0
Additional Paid In Capital,67359101.0,67329705.0
Capital Stock,2860.0,2856.0
Common Stock,2860.0,2856.0
Total Liabilities Net Minority Interest,33711230.0,23208575.0
Total Non Current Liabilities Net Minority Interest,9404101.0,4103490.0
Dueto Related Parties Non Current,255344.0,250499.0
Tradeand Other Payables Non Current,0.0,0.0
Non Current Deferred Liabilities,1123753.0,1102429.0
Non Current Deferred Revenue,1123753.0,1102429.0
Long Term Debt And Capital Lease Obligation,8025004.0,2750562.0
Long Term Debt,8025004.0,2750562.0
Current Liabilities,24307129.0,19105085.0
Current Deferred Liabilities,1317816.0,2615913.0
Current Deferred Revenue,1317816.0,2615913.0
Current Debt And Capital Lease Obligation,14314783.0,10972720.0
Current Debt,14314783.0,10972720.0
Other Current Borrowings,43545.0,5512.0
Line Of Credit,4122341.0,2492833.0
Current Notes Payable,10148897.0,8474375.0
Payables And Accrued Expenses,8674530.0,5516452.0
Current Accrued Expenses,3003704.0,1969739.0
Payables,5670826.0,3546713.0
Total Tax Payable,2961173.0,2766865.0
Income Tax Payable,2918611.0,2869955.0
Accounts Payable,2709653.0,779848.0
Total Assets,109523537.0,99097713.0
Total Non Current Assets,39236300.0,27973343.0
Other Non Current Assets,221288.0,115508.0
Non Current Prepaid Assets,6781980.0,
Non Current Deferred Assets,1044334.0,617674.0
Non Current Deferred Taxes Assets,1044334.0,617674.0
Investments And Advances,11656412.0,12583599.0
Long Term Equity Investment,11656412.0,12583599.0
Investments In Other Ventures Under Equity Method,11656412.0,12583599.0
Goodwill And Other Intangible Assets,4213536.0,4181325.0
Other Intangible Assets,4213536.0,4181325.0
Net PPE,15318750.0,10475237.0
Accumulated Depreciation,-9658083.0,-9531985.0
Gross PPE,24976833.0,20007222.0
Construction In Progress,9096839.0,5480430.0
Machinery Furniture Equipment,11177280.0,11597543.0
Buildings And Improvements,4702714.0,2929249.0
Properties,0.0,0.0
Current Assets,70287237.0,71124370.0
Restricted Cash,3141756.0,2945993.0
Prepaid Assets,2252953.0,4674940.0
Inventory,24084711.0,27762730.0
Inventories Adjustments Allowances,,0.0
Finished Goods,9793567.0,10553455.0
Work In Process,267465.0,252925.0
Raw Materials,14023679.0,16956350.0
Receivables,34224164.0,26535155.0
Other Receivables,1091526.0,1176030.0
Notes Receivable,8358797.0,7779889.0
Accounts Receivable,24773841.0,17579236.0
Allowance For Doubtful Accounts Receivable,-1183298.0,-1044690.0
Gross Accounts Receivable,25957139.0,18623926.0
Cash Cash Equivalents And Short Term Investments,6583653.0,9205552.0
Other Short Term Investments,100164.0,
Cash And Cash Equivalents,6483489.0,9205552.0
