,2026-02-28,2025-11-30,2025-05-31,2025-02-28
Ordinary Shares Number,11409900.0,11409900.0,11409900.0,10322250.0
Share Issued,11409900.0,11409900.0,11409900.0,10322250.0
Net Debt,,,,291937.0
Total Debt,,,,500000.0
Tangible Book Value,81812127.0,81283042.0,80713681.0,-16421.0
Invested Capital,81812127.0,81283042.0,80713681.0,483579.0
Working Capital,-838513.0,-649389.0,474816.0,-301307.0
Net Tangible Assets,81812127.0,81283042.0,80713681.0,-16421.0
Common Stock Equity,81812127.0,81283042.0,80713681.0,-16421.0
Total Capitalization,81812127.0,81283042.0,80713681.0,-16421.0
Total Equity Gross Minority Interest,81812127.0,81283042.0,80713681.0,-16421.0
Stockholders Equity,81812127.0,81283042.0,80713681.0,-16421.0
Retained Earnings,-4150826.0,-3920003.0,-2779577.0,-41421.0
Additional Paid In Capital,0.0,0.0,0.0,24710.0
Capital Stock,85962953.0,85203045.0,83493258.0,290.0
Common Stock,85962953.0,85203045.0,83493258.0,290.0
Total Liabilities Net Minority Interest,4232617.0,4053883.0,3572315.0,509370.0
Total Non Current Liabilities Net Minority Interest,3312000.0,3312000.0,3312000.0,0.0
Tradeand Other Payables Non Current,3312000.0,3312000.0,3312000.0,
Current Liabilities,920617.0,741883.0,260315.0,509370.0
Current Debt And Capital Lease Obligation,,,,500000.0
Current Debt,,,,500000.0
Other Current Borrowings,,,,500000.0
Payables And Accrued Expenses,920617.0,741883.0,260315.0,9370.0
Current Accrued Expenses,120000.0,60000.0,,
Payables,800617.0,681883.0,260315.0,9370.0
Dueto Related Parties Current,425.0,,,
Accounts Payable,800192.0,681883.0,260315.0,9370.0
Total Assets,86044744.0,85336925.0,84285996.0,492949.0
Total Non Current Assets,85962640.0,85244431.0,83550865.0,284886.0
Other Non Current Assets,85962640.0,85202732.0,83492945.0,
Non Current Prepaid Assets,0.0,41699.0,57920.0,
Non Current Deferred Assets,,0.0,0.0,284886.0
Current Assets,82104.0,92494.0,735131.0,208063.0
Prepaid Assets,75971.0,60824.0,80972.0,0.0
Receivables,0.0,19575.0,,
Duefrom Related Parties Current,0.0,19575.0,,
Cash Cash Equivalents And Short Term Investments,6133.0,12095.0,654159.0,208063.0
Other Short Term Investments,,,605037.0,
Cash And Cash Equivalents,6133.0,12095.0,49122.0,208063.0
Cash Financial,6133.0,12095.0,49122.0,208063.0
