,2025-08-31,2025-02-28
Treasury Shares Number,,2363567.0
Ordinary Shares Number,22600576.0,22600576.0
Share Issued,22600576.0,24964143.0
Total Debt,94781000.0,98299000.0
Tangible Book Value,460983000.0,452052000.0
Invested Capital,82477000.0,536745000.0
Working Capital,111074000.0,161393000.0
Net Tangible Assets,460983000.0,452052000.0
Capital Lease Obligations,12304000.0,16165000.0
Common Stock Equity,464694000.0,454611000.0
Total Capitalization,543047000.0,536745000.0
Total Equity Gross Minority Interest,515236000.0,505153000.0
Minority Interest,,50542000.0
Stockholders Equity,464694000.0,454611000.0
Gains Losses Not Affecting Retained Earnings,,28873000.0
Other Equity Adjustments,,28873000.0
Treasury Stock,,45115000.0
Retained Earnings,,-276538000.0
Additional Paid In Capital,,747376000.0
Capital Stock,,15000.0
Common Stock,,15000.0
Total Liabilities Net Minority Interest,228877000.0,225989000.0
Total Non Current Liabilities Net Minority Interest,84086000.0,90404000.0
Long Term Debt And Capital Lease Obligation,84086000.0,90404000.0
Long Term Capital Lease Obligation,5733000.0,8270000.0
Long Term Debt,78353000.0,82134000.0
Current Liabilities,144791000.0,135585000.0
Other Current Liabilities,,8725000.0
Current Deferred Liabilities,30244000.0,27941000.0
Current Deferred Revenue,30244000.0,27941000.0
Current Debt And Capital Lease Obligation,10695000.0,7895000.0
Current Capital Lease Obligation,6571000.0,7895000.0
Current Debt,4124000.0,
Other Current Borrowings,4124000.0,
Payables And Accrued Expenses,103852000.0,91024000.0
Current Accrued Expenses,75106000.0,6089000.0
Payables,28746000.0,84935000.0
Other Payable,,53177000.0
Dueto Related Parties Current,5256000.0,5256000.0
Total Tax Payable,19735000.0,22756000.0
Income Tax Payable,19735000.0,18859000.0
Accounts Payable,3755000.0,3746000.0
Total Assets,744113000.0,731142000.0
Total Non Current Assets,488248000.0,434164000.0
Other Non Current Assets,129447000.0,130621000.0
Investments And Advances,195751000.0,135571000.0
Other Investments,45000000.0,
Investmentin Financial Assets,150751000.0,99571000.0
Available For Sale Securities,150751000.0,99571000.0
Long Term Equity Investment,,36000000.0
Goodwill And Other Intangible Assets,3711000.0,2559000.0
Other Intangible Assets,2586000.0,1434000.0
Goodwill,1125000.0,1125000.0
Net PPE,159339000.0,165413000.0
Accumulated Depreciation,,-12895000.0
Gross PPE,159339000.0,178308000.0
Leases,,8827000.0
Construction In Progress,,116541000.0
Other Properties,159339000.0,44519000.0
Machinery Furniture Equipment,,8421000.0
Properties,,0.0
Current Assets,255865000.0,296978000.0
Restricted Cash,0.0,496000.0
Receivables,35601000.0,30269000.0
Other Receivables,29066000.0,24890000.0
Duefrom Related Parties Current,3681000.0,3331000.0
Accounts Receivable,2854000.0,2048000.0
Allowance For Doubtful Accounts Receivable,,0.0
Gross Accounts Receivable,,2048000.0
Cash Cash Equivalents And Short Term Investments,220264000.0,266213000.0
Other Short Term Investments,132315000.0,55442000.0
Cash And Cash Equivalents,87949000.0,210771000.0
