,2026-03-31
Ordinary Shares Number,273442494.0
Share Issued,273442494.0
Total Debt,27360000.0
Tangible Book Value,-1290636000.0
Invested Capital,-1290636000.0
Working Capital,685033000.0
Net Tangible Assets,-626155000.0
Capital Lease Obligations,27360000.0
Common Stock Equity,-1290636000.0
Total Capitalization,-1916791000.0
Total Equity Gross Minority Interest,-1290636000.0
Stockholders Equity,-626155000.0
Other Equity Interest,16559000.0
Gains Losses Not Affecting Retained Earnings,26000.0
Retained Earnings,-1402562000.0
Total Partnership Capital,-1290636000.0
Limited Partnership Capital,95341000.0
Total Liabilities Net Minority Interest,2486648000.0
Total Non Current Liabilities Net Minority Interest,2397300000.0
Preferred Securities Outside Stock Equity,2336568000.0
Derivative Product Liabilities,17898000.0
Non Current Deferred Liabilities,18045000.0
Non Current Deferred Revenue,18045000.0
Long Term Debt And Capital Lease Obligation,24789000.0
Long Term Capital Lease Obligation,24789000.0
Current Liabilities,89348000.0
Current Deferred Liabilities,3835000.0
Current Deferred Revenue,3835000.0
Current Debt And Capital Lease Obligation,2571000.0
Current Capital Lease Obligation,2571000.0
Current Provisions,1068000.0
Payables And Accrued Expenses,81874000.0
Current Accrued Expenses,67539000.0
Payables,14335000.0
Dueto Related Parties Current,4299000.0
Accounts Payable,10036000.0
Total Assets,1196012000.0
Total Non Current Assets,421631000.0
Other Non Current Assets,54344000.0
Investments And Advances,270438000.0
Net PPE,96849000.0
Accumulated Depreciation,-4039000.0
Gross PPE,100888000.0
Leases,1879000.0
Construction In Progress,66345000.0
Other Properties,25803000.0
Machinery Furniture Equipment,5164000.0
Land And Improvements,1697000.0
Properties,0.0
Current Assets,774381000.0
Other Current Assets,23493000.0
Receivables,77303000.0
Other Receivables,51159000.0
Duefrom Related Parties Current,4182000.0
Accounts Receivable,21962000.0
Cash Cash Equivalents And Short Term Investments,673585000.0
Other Short Term Investments,449509000.0
Cash And Cash Equivalents,224076000.0
