,2025-03-31
Ordinary Shares Number,45960000.0
Share Issued,45960000.0
Total Debt,881000.0
Tangible Book Value,-658489000.0
Invested Capital,-651385000.0
Working Capital,-248565000.0
Net Tangible Assets,-658489000.0
Capital Lease Obligations,881000.0
Common Stock Equity,-651385000.0
Total Capitalization,-651385000.0
Total Equity Gross Minority Interest,-651385000.0
Stockholders Equity,-651385000.0
Retained Earnings,-1782485000.0
Additional Paid In Capital,1060750000.0
Capital Stock,70350000.0
Common Stock,70350000.0
Total Liabilities Net Minority Interest,965357000.0
Total Non Current Liabilities Net Minority Interest,439292000.0
Other Non Current Liabilities,25817000.0
Non Current Deferred Liabilities,412996000.0
Non Current Deferred Revenue,412996000.0
Long Term Debt And Capital Lease Obligation,479000.0
Long Term Capital Lease Obligation,479000.0
Current Liabilities,526065000.0
Current Deferred Liabilities,351937000.0
Current Deferred Revenue,351937000.0
Current Debt And Capital Lease Obligation,402000.0
Current Capital Lease Obligation,402000.0
Pensionand Other Post Retirement Benefit Plans Current,16070000.0
Payables And Accrued Expenses,157656000.0
Current Accrued Expenses,1614000.0
Payables,156042000.0
Other Payable,35051000.0
Total Tax Payable,7029000.0
Income Tax Payable,3110000.0
Accounts Payable,113962000.0
Total Assets,313972000.0
Total Non Current Assets,36472000.0
Other Non Current Assets,21408000.0
Investments And Advances,134000.0
Goodwill And Other Intangible Assets,7104000.0
Other Intangible Assets,7104000.0
Net PPE,7826000.0
Accumulated Depreciation,-4581000.0
Gross PPE,12407000.0
Other Properties,337000.0
Machinery Furniture Equipment,11190000.0
Buildings And Improvements,880000.0
Properties,0.0
Current Assets,277500000.0
Other Current Assets,16000.0
Current Deferred Assets,131035000.0
Prepaid Assets,9300000.0
Receivables,25137000.0
Duefrom Related Parties Current,0.0
Taxes Receivable,3725000.0
Accounts Receivable,21412000.0
Cash Cash Equivalents And Short Term Investments,112012000.0
Cash And Cash Equivalents,112012000.0
