,2026-02-28,2025-02-28
Treasury Shares Number,2312261.0,3774605.0
Ordinary Shares Number,232723716.0,232410083.0
Share Issued,235035977.0,236184688.0
Total Debt,702636000.0,620368000.0
Tangible Book Value,189771000.0,186750000.0
Invested Capital,1166260000.0,1058688000.0
Working Capital,109097000.0,106325000.0
Net Tangible Assets,189771000.0,186750000.0
Capital Lease Obligations,76670000.0,82618000.0
Common Stock Equity,540294000.0,520938000.0
Total Capitalization,568351000.0,
Total Equity Gross Minority Interest,618480000.0,594607000.0
Minority Interest,78186000.0,73669000.0
Stockholders Equity,540294000.0,520938000.0
Other Equity Interest,10745000.0,9020000.0
Capital Stock,199398000.0,155683000.0
Common Stock,199398000.0,155683000.0
Total Liabilities Net Minority Interest,4026538000.0,3378681000.0
Total Non Current Liabilities Net Minority Interest,570759000.0,438136000.0
Other Non Current Liabilities,5893000.0,387000.0
Non Current Pension And Other Postretirement Benefit Plans,25267000.0,11420000.0
Tradeand Other Payables Non Current,362971000.0,247146000.0
Non Current Deferred Revenue,62772000.0,51379000.0
Non Current Deferred Taxes Liabilities,25281000.0,26331000.0
Long Term Debt And Capital Lease Obligation,77558000.0,89732000.0
Long Term Capital Lease Obligation,49501000.0,53363000.0
Long Term Debt,28057000.0,36369000.0
Long Term Provisions,9208000.0,9405000.0
Current Liabilities,3455779000.0,2940545000.0
Other Current Liabilities,2857000.0,
Current Debt And Capital Lease Obligation,625078000.0,530636000.0
Current Capital Lease Obligation,27169000.0,29255000.0
Current Debt,597909000.0,501381000.0
Pensionand Other Post Retirement Benefit Plans Current,1119000.0,1606000.0
Current Provisions,14926000.0,21645000.0
Payables,2506281000.0,
Other Payable,510230000.0,414398000.0
Total Tax Payable,100222000.0,115742000.0
Accounts Payable,1895829000.0,1670503000.0
Total Assets,4645018000.0,3973288000.0
Total Non Current Assets,1080142000.0,926418000.0
Other Non Current Assets,9408000.0,1550000.0
Non Current Prepaid Assets,49550000.0,40055000.0
Non Current Deferred Assets,6848000.0,1018000.0
Non Current Deferred Taxes Assets,87607000.0,82058000.0
Investmentin Financial Assets,1500000.0,1500000.0
Held To Maturity Securities,1500000.0,1500000.0
Long Term Equity Investment,,0.0
Goodwill And Other Intangible Assets,350523000.0,334188000.0
Other Intangible Assets,60395000.0,59976000.0
Goodwill,290128000.0,274212000.0
Net PPE,95127000.0,102298000.0
Accumulated Depreciation,-225825000.0,-212199000.0
Gross PPE,320952000.0,314497000.0
Other Properties,28735000.0,29926000.0
Machinery Furniture Equipment,143326000.0,136546000.0
Buildings And Improvements,146365000.0,145555000.0
Land And Improvements,2526000.0,2470000.0
Properties,0.0,0.0
Current Assets,3564876000.0,3046870000.0
Hedging Assets Current,34329000.0,45135000.0
Restricted Cash,6051000.0,3753000.0
Prepaid Assets,167035000.0,168247000.0
Inventory,273355000.0,269788000.0
Inventories Adjustments Allowances,-20359000.0,-24732000.0
Finished Goods,262015000.0,264114000.0
Work In Process,18563000.0,18672000.0
Raw Materials,13136000.0,11734000.0
Other Receivables,359480000.0,279699000.0
Taxes Receivable,57125000.0,53503000.0
Accounts Receivable,1955775000.0,1632973000.0
Allowance For Doubtful Accounts Receivable,-30320000.0,-31510000.0
Gross Accounts Receivable,1986095000.0,1664483000.0
Cash Cash Equivalents And Short Term Investments,704114000.0,585114000.0
Other Short Term Investments,,1001000.0
Cash And Cash Equivalents,704114000.0,584113000.0
Cash Financial,704114000.0,584113000.0
