,2025-03-31
Ordinary Shares Number,14000000.0
Share Issued,14000000.0
Tangible Book Value,3460293.0
Invested Capital,3460293.0
Working Capital,3447464.0
Net Tangible Assets,3460293.0
Common Stock Equity,3460293.0
Total Capitalization,3460293.0
Total Equity Gross Minority Interest,3460293.0
Stockholders Equity,3460293.0
Retained Earnings,3294940.0
Additional Paid In Capital,164103.0
Capital Stock,1250.0
Common Stock,1250.0
Total Liabilities Net Minority Interest,3090565.0
Total Non Current Liabilities Net Minority Interest,0.0
Current Liabilities,3090565.0
Payables And Accrued Expenses,3090565.0
Current Accrued Expenses,261750.0
Payables,2828815.0
Dueto Related Parties Current,1975617.0
Total Tax Payable,439706.0
Income Tax Payable,439706.0
Accounts Payable,413492.0
Total Assets,6550858.0
Total Non Current Assets,12829.0
Non Current Deferred Assets,12829.0
Non Current Deferred Taxes Assets,12829.0
Net PPE,0.0
Gross PPE,0.0
Current Assets,6538029.0
Current Deferred Assets,463529.0
Prepaid Assets,2590.0
Receivables,3706378.0
Other Receivables,2295062.0
Accounts Receivable,1411316.0
Allowance For Doubtful Accounts Receivable,-13457.0
Gross Accounts Receivable,1424773.0
Cash Cash Equivalents And Short Term Investments,2365532.0
Cash And Cash Equivalents,2365532.0
Cash Financial,2365532.0
