,2025-09-30
Ordinary Shares Number,1526113.0
Share Issued,1526113.0
Total Debt,30818.0
Tangible Book Value,10036664.0
Invested Capital,10036664.0
Working Capital,8782964.0
Net Tangible Assets,10036664.0
Capital Lease Obligations,30818.0
Common Stock Equity,10036664.0
Total Capitalization,10036664.0
Total Equity Gross Minority Interest,10036664.0
Stockholders Equity,10036664.0
Other Equity Interest,-14125.0
Gains Losses Not Affecting Retained Earnings,331.0
Other Equity Adjustments,331.0
Retained Earnings,2395961.0
Additional Paid In Capital,7349249.0
Capital Stock,305248.0
Common Stock,305248.0
Total Liabilities Net Minority Interest,1177197.0
Total Non Current Liabilities Net Minority Interest,0.0
Current Liabilities,1177197.0
Current Deferred Liabilities,105633.0
Current Deferred Revenue,105633.0
Current Debt And Capital Lease Obligation,30818.0
Current Capital Lease Obligation,30818.0
Payables And Accrued Expenses,1040746.0
Current Accrued Expenses,292838.0
Payables,747908.0
Other Payable,2876.0
Dueto Related Parties Current,0.0
Total Tax Payable,0.0
Accounts Payable,745032.0
Total Assets,11213861.0
Total Non Current Assets,1253700.0
Non Current Prepaid Assets,1171410.0
Net PPE,82290.0
Accumulated Depreciation,-139136.0
Gross PPE,221426.0
Leases,87172.0
Other Properties,71153.0
Machinery Furniture Equipment,63101.0
Current Assets,9960161.0
Current Deferred Assets,374286.0
Prepaid Assets,42646.0
Receivables,2037841.0
Other Receivables,916192.0
Duefrom Related Parties Current,33094.0
Taxes Receivable,84352.0
Accounts Receivable,1004203.0
Allowance For Doubtful Accounts Receivable,-23067.0
Gross Accounts Receivable,1027270.0
Cash Cash Equivalents And Short Term Investments,7505388.0
Cash And Cash Equivalents,7505388.0
