,2025-06-30
Ordinary Shares Number,25952891002.0
Share Issued,25952891002.0
Total Debt,34690134000.0
Tangible Book Value,236112519000.0
Invested Capital,281386542000.0
Working Capital,55290969000.0
Net Tangible Assets,236112519000.0
Capital Lease Obligations,5777298000.0
Common Stock Equity,252473706000.0
Total Capitalization,270745647000.0
Total Equity Gross Minority Interest,252860695000.0
Minority Interest,386989000.0
Stockholders Equity,252473706000.0
Treasury Stock,44073000.0
Retained Earnings,134378121000.0
Additional Paid In Capital,101001001000.0
Capital Stock,425000.0
Common Stock,425000.0
Total Liabilities Net Minority Interest,228657063000.0
Total Non Current Liabilities Net Minority Interest,40328070000.0
Other Non Current Liabilities,46501000.0
Tradeand Other Payables Non Current,1147614000.0
Non Current Deferred Revenue,2017715000.0
Non Current Deferred Taxes Liabilities,1933737000.0
Long Term Debt And Capital Lease Obligation,21598500000.0
Long Term Capital Lease Obligation,3326559000.0
Long Term Debt,18271941000.0
Long Term Provisions,2187132000.0
Current Liabilities,188328993000.0
Current Debt And Capital Lease Obligation,13091634000.0
Current Capital Lease Obligation,2450739000.0
Current Debt,10640895000.0
Current Provisions,7769839000.0
Payables,137852520000.0
Other Payable,23743198000.0
Total Tax Payable,5715998000.0
Accounts Payable,108393324000.0
Total Assets,481517758000.0
Total Non Current Assets,237897796000.0
Other Non Current Assets,858029000.0
Non Current Prepaid Assets,1010862000.0
Non Current Deferred Taxes Assets,2710583000.0
Investmentin Financial Assets,179135078000.0
Available For Sale Securities,104972555000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,74162523000.0
Long Term Equity Investment,6034029000.0
Investmentsin Associatesat Cost,6034029000.0
Investment Properties,2542873000.0
Goodwill And Other Intangible Assets,16361187000.0
Other Intangible Assets,14664548000.0
Goodwill,1696639000.0
Net PPE,29245155000.0
Accumulated Depreciation,-6343179000.0
Gross PPE,35588334000.0
Construction In Progress,6143351000.0
Other Properties,13876201000.0
Machinery Furniture Equipment,476461000.0
Buildings And Improvements,15092321000.0
Properties,0.0
Current Assets,243619962000.0
Restricted Cash,5411773000.0
Prepaid Assets,8512693000.0
Inventory,65825475000.0
Inventories Adjustments Allowances,-2620832000.0
Other Inventories,614374000.0
Finished Goods,40934783000.0
Work In Process,5776724000.0
Raw Materials,21120426000.0
Other Receivables,25497563000.0
Taxes Receivable,8068772000.0
Accounts Receivable,18184621000.0
Cash Cash Equivalents And Short Term Investments,112119065000.0
Other Short Term Investments,76111035000.0
Cash And Cash Equivalents,36008030000.0
Cash Equivalents,11108613000.0
Cash Financial,24899417000.0
