,2026-03-31
Treasury Shares Number,59191.0
Ordinary Shares Number,36208403.0
Share Issued,36267594.0
Tangible Book Value,78979912.0
Invested Capital,79151131.0
Working Capital,59475256.0
Net Tangible Assets,78980092.0
Common Stock Equity,79151131.0
Preferred Stock Equity,180.0
Total Capitalization,79151311.0
Total Equity Gross Minority Interest,79151311.0
Stockholders Equity,79151311.0
Treasury Stock,274231.0
Retained Earnings,-14654592.0
Additional Paid In Capital,94045069.0
Capital Stock,35065.0
Common Stock,34885.0
Preferred Stock,180.0
Total Liabilities Net Minority Interest,259817.0
Total Non Current Liabilities Net Minority Interest,0.0
Current Liabilities,259817.0
Payables And Accrued Expenses,259817.0
Total Assets,79411128.0
Total Non Current Assets,19676055.0
Other Non Current Assets,621660.0
Goodwill And Other Intangible Assets,171219.0
Other Intangible Assets,171219.0
Net PPE,18883176.0
Accumulated Depreciation,-10765658.0
Gross PPE,29648834.0
Construction In Progress,3600100.0
Machinery Furniture Equipment,28295.0
Properties,26020439.0
Current Assets,59735073.0
Other Current Assets,5365365.0
Prepaid Assets,715443.0
Receivables,11179913.0
Other Receivables,11179913.0
Cash Cash Equivalents And Short Term Investments,42474352.0
Cash And Cash Equivalents,42474352.0
