,2025-06-30
Ordinary Shares Number,377833019.0
Share Issued,377833019.0
Tangible Book Value,95845400.0
Invested Capital,95845400.0
Net Tangible Assets,95845400.0
Common Stock Equity,95845400.0
Total Capitalization,95845400.0
Total Equity Gross Minority Interest,95845400.0
Stockholders Equity,95845400.0
Gains Losses Not Affecting Retained Earnings,217702622.0
Other Equity Adjustments,217702622.0
Retained Earnings,-230915491.0
Capital Stock,109058269.0
Common Stock,109058269.0
Total Liabilities Net Minority Interest,1084281.0
Payables And Accrued Expenses,1084281.0
Payables,1084281.0
Other Payable,334994.0
Accounts Payable,749287.0
Total Assets,96929681.0
Long Term Equity Investment,33088146.0
Receivables,662538.0
Other Receivables,662538.0
Cash Cash Equivalents And Short Term Investments,56444536.0
Other Short Term Investments,54205620.0
Cash And Cash Equivalents,2238916.0
Cash Financial,2238916.0
Cash Cash Equivalents And Federal Funds Sold,2238916.0
