,2026-03-31,2025-12-31,2025-09-30,2024-12-31
Ordinary Shares Number,7018528.0,5919337.0,5556295.0,5565597.0
Share Issued,7018528.0,5919337.0,5556295.0,5565597.0
Net Debt,,,,3487506.0
Total Debt,22548.0,31258.0,38609.0,3650264.0
Tangible Book Value,6429783.0,2127868.0,2215522.0,-4705228.0
Invested Capital,6743974.0,2442059.0,2529713.0,-801627.0
Working Capital,7018457.0,2703161.0,2918472.0,-5437718.0
Net Tangible Assets,6429783.0,2127868.0,2215522.0,-4705225.0
Capital Lease Obligations,22548.0,31258.0,38609.0,60854.0
Common Stock Equity,6743974.0,2442059.0,2529713.0,-4391037.0
Preferred Stock Equity,,,,3.0
Total Capitalization,6743974.0,2442059.0,2529713.0,-4391034.0
Total Equity Gross Minority Interest,8041321.0,3762017.0,3918460.0,-4391033.0
Minority Interest,1297347.0,1319958.0,1388747.0,1.0
Stockholders Equity,6743974.0,2442059.0,2529713.0,-4391034.0
Gains Losses Not Affecting Retained Earnings,-118318.0,-78864.0,-68363.0,-53170.0
Other Equity Adjustments,-118318.0,-78864.0,-68363.0,-53170.0
Retained Earnings,-88526485.0,-87563575.0,-86338112.0,-55422744.0
Additional Paid In Capital,95381758.0,90078579.0,88930632.0,51084877.0
Capital Stock,7019.0,5919.0,5556.0,3.0
Common Stock,7019.0,5919.0,5556.0,0.0
Preferred Stock,,0.0,0.0,3.0
Total Liabilities Net Minority Interest,2144125.0,2735160.0,3126936.0,5772594.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0,8151.0,32830.0
Long Term Debt And Capital Lease Obligation,,0.0,8151.0,32830.0
Long Term Capital Lease Obligation,,0.0,8151.0,32830.0
Current Liabilities,2144125.0,2735160.0,3118785.0,5739764.0
Other Current Liabilities,58710.0,62452.0,93204.0,63795.0
Current Deferred Liabilities,24844.0,26086.0,,38358.0
Current Deferred Revenue,24844.0,26086.0,,38358.0
Current Debt And Capital Lease Obligation,22548.0,31258.0,30458.0,3617434.0
Current Capital Lease Obligation,22548.0,31258.0,30458.0,28024.0
Current Debt,,,,3589410.0
Other Current Borrowings,,,,3589410.0
Pensionand Other Post Retirement Benefit Plans Current,80402.0,159655.0,158150.0,141862.0
Payables And Accrued Expenses,1957621.0,2455709.0,2836973.0,1878315.0
Current Accrued Expenses,590140.0,639150.0,249190.0,463686.0
Payables,1367481.0,1816559.0,2587783.0,1414629.0
Other Payable,656004.0,964464.0,748789.0,783362.0
Dueto Related Parties Current,179346.0,204562.0,184621.0,129346.0
Accounts Payable,532131.0,647533.0,1654373.0,501921.0
Total Assets,10185446.0,6497177.0,7045396.0,1381561.0
Total Non Current Assets,1022864.0,1058856.0,1008139.0,1079515.0
Non Current Prepaid Assets,63668.0,67307.0,,0.0
Non Current Accounts Receivable,579335.0,601537.0,606914.0,646758.0
Goodwill And Other Intangible Assets,314191.0,314191.0,314191.0,314191.0
Net PPE,65670.0,75821.0,87034.0,118566.0
Accumulated Depreciation,-501465.0,-524309.0,-537452.0,-547716.0
Gross PPE,567135.0,600130.0,624486.0,666282.0
Other Properties,394149.0,421539.0,433909.0,471227.0
Machinery Furniture Equipment,56216.0,55982.0,66425.0,66277.0
Buildings And Improvements,116770.0,122609.0,124152.0,128778.0
Properties,0.0,0.0,0.0,0.0
Current Assets,9162582.0,5438321.0,6037257.0,302046.0
Other Current Assets,15167.0,17428.0,15281.0,16612.0
Current Deferred Assets,,0.0,0.0,111415.0
Prepaid Assets,210789.0,339949.0,221907.0,21173.0
Receivables,140843.0,98611.0,93057.0,50942.0
Other Receivables,140534.0,98286.0,70056.0,48648.0
Accounts Receivable,309.0,325.0,23001.0,2294.0
Cash Cash Equivalents And Short Term Investments,8795783.0,4982333.0,5707012.0,101904.0
Cash And Cash Equivalents,8795783.0,4982333.0,5707012.0,101904.0
Cash Financial,,,5707012.0,
