,2025-09-30
Ordinary Shares Number,12500000.0
Share Issued,12500000.0
Total Debt,696270.0
Tangible Book Value,5646921.0
Invested Capital,5646921.0
Working Capital,4355123.0
Net Tangible Assets,5646921.0
Capital Lease Obligations,696270.0
Common Stock Equity,5646921.0
Total Capitalization,5646921.0
Total Equity Gross Minority Interest,5646921.0
Stockholders Equity,5646921.0
Gains Losses Not Affecting Retained Earnings,32230.0
Other Equity Adjustments,32230.0
Retained Earnings,731600.0
Additional Paid In Capital,903051.0
Capital Stock,3980040.0
Common Stock,3980040.0
Total Liabilities Net Minority Interest,2846658.0
Total Non Current Liabilities Net Minority Interest,249317.0
Employee Benefits,22873.0
Non Current Pension And Other Postretirement Benefit Plans,22873.0
Long Term Debt And Capital Lease Obligation,226444.0
Long Term Capital Lease Obligation,226444.0
Current Liabilities,2597341.0
Other Current Liabilities,527975.0
Current Deferred Liabilities,16393.0
Current Deferred Revenue,16393.0
Current Debt And Capital Lease Obligation,469826.0
Current Capital Lease Obligation,469826.0
Payables And Accrued Expenses,1583147.0
Current Accrued Expenses,231303.0
Payables,1351844.0
Dueto Related Parties Current,668662.0
Total Tax Payable,154217.0
Income Tax Payable,154217.0
Accounts Payable,528965.0
Total Assets,8493579.0
Total Non Current Assets,1541115.0
Non Current Prepaid Assets,170301.0
Non Current Deferred Assets,169088.0
Non Current Deferred Taxes Assets,169088.0
Net PPE,1201726.0
Accumulated Depreciation,-921479.0
Gross PPE,2123205.0
Leases,413639.0
Other Properties,674595.0
Machinery Furniture Equipment,1034971.0
Properties,0.0
Current Assets,6952464.0
Prepaid Assets,578613.0
Receivables,2589075.0
Other Receivables,32287.0
Accounts Receivable,2556788.0
Allowance For Doubtful Accounts Receivable,-612488.0
Gross Accounts Receivable,3169276.0
Cash Cash Equivalents And Short Term Investments,3784776.0
Cash And Cash Equivalents,3784776.0
Cash Financial,3784776.0
