,2026-03-31,2026-02-28
Ordinary Shares Number,27368500.0,27368500.0
Share Issued,27368500.0,27368500.0
Tangible Book Value,-52667.0,-9042.0
Invested Capital,-52667.0,-9042.0
Working Capital,-127625.0,-55500.0
Net Tangible Assets,-52667.0,-9042.0
Common Stock Equity,-52667.0,-9042.0
Total Capitalization,-52667.0,-9042.0
Total Equity Gross Minority Interest,-52667.0,-9042.0
Stockholders Equity,-52667.0,-9042.0
Retained Earnings,-77667.0,-34042.0
Additional Paid In Capital,24325.0,24325.0
Capital Stock,675.0,675.0
Common Stock,675.0,675.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,128583.0,56458.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0
Current Liabilities,128583.0,56458.0
Payables And Accrued Expenses,128583.0,56458.0
Payables,128583.0,56458.0
Dueto Related Parties Current,15000.0,
Accounts Payable,113583.0,56458.0
Total Assets,75916.0,47416.0
Total Non Current Assets,74958.0,46458.0
Non Current Deferred Assets,74958.0,46458.0
Current Assets,958.0,958.0
Prepaid Assets,958.0,958.0
