,2026-03-31,2025-12-31,2025-09-30,2025-06-30
Ordinary Shares Number,49345967.0,49316287.0,32626730.0,32626730.0
Share Issued,49345967.0,49316287.0,32626730.0,32626730.0
Total Debt,679000.0,724000.0,747000.0,792000.0
Tangible Book Value,296460000.0,332516000.0,179344000.0,201554000.0
Invested Capital,296460000.0,332516000.0,179344000.0,201554000.0
Working Capital,296225000.0,332277000.0,179003000.0,201364000.0
Net Tangible Assets,296462000.0,332518000.0,179346000.0,201556000.0
Capital Lease Obligations,679000.0,724000.0,747000.0,792000.0
Common Stock Equity,296460000.0,332516000.0,179344000.0,201554000.0
Preferred Stock Equity,2000.0,2000.0,2000.0,2000.0
Total Capitalization,296462000.0,332518000.0,179346000.0,201556000.0
Total Equity Gross Minority Interest,296462000.0,332518000.0,179346000.0,201556000.0
Stockholders Equity,296462000.0,332518000.0,179346000.0,201556000.0
Gains Losses Not Affecting Retained Earnings,-342000.0,129000.0,29000.0,-24000.0
Other Equity Adjustments,-342000.0,129000.0,29000.0,-24000.0
Retained Earnings,-214757000.0,-174389000.0,-142457000.0,-117282000.0
Additional Paid In Capital,511554000.0,506771000.0,321769000.0,318857000.0
Capital Stock,7000.0,7000.0,5000.0,5000.0
Common Stock,5000.0,5000.0,3000.0,3000.0
Preferred Stock,2000.0,2000.0,2000.0,2000.0
Total Liabilities Net Minority Interest,22971000.0,17263000.0,23104000.0,22412000.0
Total Non Current Liabilities Net Minority Interest,679000.0,724000.0,747000.0,792000.0
Preferred Securities Outside Stock Equity,,0.0,0.0,0.0
Long Term Debt And Capital Lease Obligation,679000.0,724000.0,747000.0,792000.0
Long Term Capital Lease Obligation,679000.0,724000.0,747000.0,792000.0
Current Liabilities,22292000.0,16539000.0,22357000.0,21620000.0
Other Current Liabilities,2667000.0,,4947000.0,3563000.0
Pensionand Other Post Retirement Benefit Plans Current,2746000.0,3323000.0,3104000.0,1785000.0
Payables And Accrued Expenses,16879000.0,13216000.0,14306000.0,16272000.0
Current Accrued Expenses,12900000.0,11065000.0,12956000.0,8686000.0
Payables,3979000.0,2151000.0,1350000.0,7586000.0
Accounts Payable,3979000.0,2151000.0,1350000.0,7586000.0
Total Assets,319433000.0,349781000.0,202450000.0,223968000.0
Total Non Current Assets,916000.0,965000.0,1090000.0,984000.0
Other Non Current Assets,69000.0,69000.0,174000.0,60000.0
Net PPE,847000.0,896000.0,916000.0,924000.0
Gross PPE,847000.0,896000.0,916000.0,924000.0
Other Properties,847000.0,896000.0,916000.0,924000.0
Current Assets,318517000.0,348816000.0,201360000.0,222984000.0
Other Current Assets,7222000.0,12658000.0,2455000.0,2042000.0
Cash Cash Equivalents And Short Term Investments,311295000.0,336158000.0,198905000.0,220942000.0
Other Short Term Investments,256210000.0,247720000.0,148799000.0,
Cash And Cash Equivalents,55085000.0,88438000.0,50106000.0,220942000.0
