,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,1590309546.0,1547093808.0,1535653620.0,1534889490.0
Share Issued,1590309546.0,1547093808.0,1535653620.0,1534889490.0
Total Debt,48680000.0,48706000.0,74209000.0,74495000.0
Tangible Book Value,-74765000.0,-41235000.0,7969000.0,75706000.0
Invested Capital,-45283000.0,-12018000.0,62086000.0,129854000.0
Working Capital,26602000.0,51926000.0,123642000.0,180757000.0
Net Tangible Assets,-74765000.0,-41235000.0,7969000.0,75706000.0
Capital Lease Obligations,23005000.0,23295000.0,23972000.0,24630000.0
Common Stock Equity,-70958000.0,-37429000.0,11849000.0,79989000.0
Total Capitalization,-45283000.0,-12018000.0,62086000.0,129854000.0
Total Equity Gross Minority Interest,-70958000.0,-37429000.0,11849000.0,79989000.0
Stockholders Equity,-70958000.0,-37429000.0,11849000.0,79989000.0
Gains Losses Not Affecting Retained Earnings,-10612000.0,-4412000.0,-1902000.0,-5136000.0
Other Equity Adjustments,-10612000.0,-4412000.0,-1902000.0,-5136000.0
Retained Earnings,-1171911000.0,-1141571000.0,-1093987000.0,-1019772000.0
Additional Paid In Capital,1109409000.0,1106455000.0,1105653000.0,1102813000.0
Capital Stock,2156000.0,2099000.0,2085000.0,2084000.0
Common Stock,2156000.0,2099000.0,2085000.0,2084000.0
Total Liabilities Net Minority Interest,201591000.0,195501000.0,234114000.0,237447000.0
Total Non Current Liabilities Net Minority Interest,150078000.0,144429000.0,169587000.0,173990000.0
Other Non Current Liabilities,4493000.0,4371000.0,4272000.0,4939000.0
Non Current Deferred Liabilities,101419000.0,95979000.0,95815000.0,98731000.0
Non Current Deferred Revenue,101419000.0,95979000.0,95815000.0,98731000.0
Long Term Debt And Capital Lease Obligation,44166000.0,44079000.0,69500000.0,70320000.0
Long Term Capital Lease Obligation,18491000.0,18668000.0,19263000.0,20455000.0
Long Term Debt,25675000.0,25411000.0,50237000.0,49865000.0
Current Liabilities,51513000.0,51072000.0,64527000.0,63457000.0
Other Current Liabilities,1989000.0,2648000.0,2020000.0,1167000.0
Current Deferred Liabilities,10700000.0,12444000.0,12296000.0,18709000.0
Current Deferred Revenue,10700000.0,12444000.0,12296000.0,18709000.0
Current Debt And Capital Lease Obligation,4514000.0,4627000.0,4709000.0,4175000.0
Current Capital Lease Obligation,4514000.0,4627000.0,4709000.0,4175000.0
Pensionand Other Post Retirement Benefit Plans Current,7594000.0,5461000.0,13529000.0,11276000.0
Current Provisions,2355000.0,3437000.0,5911000.0,
Payables And Accrued Expenses,24361000.0,22455000.0,26062000.0,28130000.0
Current Accrued Expenses,14943000.0,16754000.0,17370000.0,19061000.0
Payables,9418000.0,5701000.0,8692000.0,9069000.0
Total Tax Payable,,,0.0,0.0
Accounts Payable,9418000.0,5701000.0,8692000.0,9069000.0
Total Assets,130633000.0,158072000.0,245963000.0,317436000.0
Total Non Current Assets,52518000.0,55074000.0,57794000.0,73222000.0
Other Non Current Assets,1811000.0,2327000.0,2696000.0,3649000.0
Goodwill And Other Intangible Assets,3807000.0,3806000.0,3880000.0,4283000.0
Other Intangible Assets,,,3880000.0,4283000.0
Net PPE,46900000.0,48941000.0,51218000.0,65290000.0
Accumulated Depreciation,-95749000.0,-89128000.0,-69643000.0,-72940000.0
Gross PPE,142649000.0,138069000.0,120861000.0,138230000.0
Leases,,,43014000.0,
Construction In Progress,,,275000.0,
Other Properties,142649000.0,138069000.0,72563000.0,138230000.0
Machinery Furniture Equipment,,,5009000.0,
Properties,,,0.0,
Current Assets,78115000.0,102998000.0,188169000.0,244214000.0
Other Current Assets,3516000.0,3349000.0,3229000.0,3472000.0
Prepaid Assets,8232000.0,7475000.0,10033000.0,14164000.0
Inventory,11411000.0,11759000.0,7320000.0,1874000.0
Other Inventories,,,,1000.0
Finished Goods,490000.0,244000.0,0.0,0.0
Work In Process,160000.0,133000.0,84000.0,132000.0
Raw Materials,10761000.0,11382000.0,7236000.0,1741000.0
Receivables,28895000.0,20852000.0,15982000.0,38614000.0
Other Receivables,18277000.0,14693000.0,12929000.0,24905000.0
Taxes Receivable,1305000.0,1777000.0,1599000.0,1209000.0
Accounts Receivable,9313000.0,4382000.0,1454000.0,12500000.0
Allowance For Doubtful Accounts Receivable,0.0,0.0,0.0,0.0
Gross Accounts Receivable,9313000.0,4382000.0,1454000.0,12500000.0
Cash Cash Equivalents And Short Term Investments,26061000.0,59563000.0,151605000.0,186090000.0
Other Short Term Investments,0.0,18509000.0,60466000.0,69349000.0
Cash And Cash Equivalents,26061000.0,41054000.0,91139000.0,116741000.0
