,2026-03-31,2025-12-31,2025-06-30,2025-03-31
Ordinary Shares Number,8905000.0,8905000.0,8905000.0,7766500.0
Share Issued,8905000.0,8905000.0,8905000.0,7766500.0
Net Debt,,,,264662.0
Total Debt,,,,300000.0
Tangible Book Value,69643454.0,69133609.0,68057755.0,-23812.0
Invested Capital,69643454.0,69133609.0,68057755.0,276188.0
Working Capital,581948.0,690592.0,1005444.0,-23812.0
Net Tangible Assets,69643454.0,69133609.0,68057755.0,-23812.0
Common Stock Equity,69643454.0,69133609.0,68057755.0,-23812.0
Total Capitalization,69643454.0,69133609.0,68057755.0,-23812.0
Total Equity Gross Minority Interest,69643454.0,69133609.0,68057755.0,-23812.0
Stockholders Equity,69643454.0,69133609.0,68057755.0,-23812.0
Retained Earnings,-1833253.0,-1724609.0,-1409757.0,-48812.0
Additional Paid In Capital,,0.0,0.0,24827.0
Capital Stock,71476707.0,70858218.0,69467512.0,173.0
Common Stock,71476707.0,70858218.0,69467512.0,173.0
Total Liabilities Net Minority Interest,2490000.0,2490000.0,2490000.0,325000.0
Total Non Current Liabilities Net Minority Interest,2415000.0,2415000.0,2415000.0,0.0
Tradeand Other Payables Non Current,2415000.0,2415000.0,2415000.0,
Current Liabilities,75000.0,75000.0,75000.0,325000.0
Current Debt And Capital Lease Obligation,,,,300000.0
Current Debt,,,,300000.0
Other Current Borrowings,,,,300000.0
Payables And Accrued Expenses,75000.0,75000.0,75000.0,25000.0
Current Accrued Expenses,75000.0,75000.0,75000.0,25000.0
Total Assets,72133454.0,71623609.0,70547755.0,301188.0
Total Non Current Assets,71476506.0,70858017.0,69467311.0,0.0
Other Non Current Assets,71476506.0,70858017.0,69467311.0,
Current Assets,656948.0,765592.0,1080444.0,301188.0
Current Deferred Assets,,0.0,0.0,250850.0
Prepaid Assets,66750.0,9000.0,57500.0,15000.0
Cash Cash Equivalents And Short Term Investments,590198.0,756592.0,1022944.0,35338.0
Cash And Cash Equivalents,590198.0,756592.0,1022944.0,35338.0
Cash Financial,590198.0,756592.0,1022944.0,35338.0
