,2025-06-30
Ordinary Shares Number,80807096.0
Share Issued,80807096.0
Net Debt,524504000.0
Total Debt,532262000.0
Tangible Book Value,2120633000.0
Invested Capital,2652895000.0
Working Capital,-75156000.0
Net Tangible Assets,2120633000.0
Common Stock Equity,2120633000.0
Total Capitalization,2275219000.0
Total Equity Gross Minority Interest,2113370000.0
Minority Interest,-7263000.0
Stockholders Equity,2120633000.0
Other Equity Interest,-2000.0
Retained Earnings,1795204000.0
Capital Stock,325431000.0
Common Stock,325431000.0
Total Liabilities Net Minority Interest,937358000.0
Total Non Current Liabilities Net Minority Interest,286770000.0
Derivative Product Liabilities,7728000.0
Non Current Pension And Other Postretirement Benefit Plans,91000.0
Non Current Deferred Taxes Liabilities,124365000.0
Long Term Debt And Capital Lease Obligation,154586000.0
Long Term Debt,154586000.0
Current Liabilities,650588000.0
Other Current Liabilities,251554000.0
Current Debt And Capital Lease Obligation,377676000.0
Current Debt,377676000.0
Payables,21358000.0
Total Tax Payable,2147000.0
Accounts Payable,19211000.0
Total Assets,3050728000.0
Total Non Current Assets,2475296000.0
Investmentin Financial Assets,20826000.0
Long Term Equity Investment,593077000.0
Investments In Other Ventures Under Equity Method,593077000.0
Investment Properties,1848210000.0
Net PPE,8175000.0
Current Assets,575432000.0
Inventory,366640000.0
Other Receivables,9020000.0
Taxes Receivable,79000.0
Accounts Receivable,6332000.0
Cash Cash Equivalents And Short Term Investments,193361000.0
Other Short Term Investments,185603000.0
Cash And Cash Equivalents,7758000.0
