,2026-03-31
Ordinary Shares Number,34250000.0
Share Issued,34250000.0
Net Debt,52275.0
Total Debt,67593.0
Tangible Book Value,805487.0
Invested Capital,873080.0
Working Capital,113907.0
Net Tangible Assets,805487.0
Common Stock Equity,805487.0
Total Capitalization,805487.0
Total Equity Gross Minority Interest,805487.0
Stockholders Equity,805487.0
Retained Earnings,-129570.0
Additional Paid In Capital,934338.0
Capital Stock,719.0
Common Stock,719.0
Preferred Stock,0.0
Total Liabilities Net Minority Interest,318869.0
Total Non Current Liabilities Net Minority Interest,0.0
Current Liabilities,318869.0
Current Debt And Capital Lease Obligation,67593.0
Current Debt,67593.0
Other Current Borrowings,67593.0
Payables And Accrued Expenses,251276.0
Current Accrued Expenses,245603.0
Payables,5673.0
Accounts Payable,5673.0
Total Assets,1124356.0
Total Non Current Assets,691580.0
Non Current Prepaid Assets,395677.0
Non Current Deferred Assets,295903.0
Current Assets,432776.0
Prepaid Assets,417458.0
Cash Cash Equivalents And Short Term Investments,15318.0
Cash And Cash Equivalents,15318.0
Cash Financial,15318.0
