,2026-03-31,2025-09-30
Ordinary Shares Number,15775833.0,15775833.0
Share Issued,15775833.0,15775833.0
Tangible Book Value,118197379.0,116291240.0
Invested Capital,118197379.0,116291240.0
Working Capital,909050.0,1265828.0
Net Tangible Assets,118197379.0,116291240.0
Common Stock Equity,118197379.0,116291240.0
Total Capitalization,118197379.0,116291240.0
Total Equity Gross Minority Interest,118197379.0,116291240.0
Stockholders Equity,118197379.0,116291240.0
Retained Earnings,908622.0,-92348.0
Additional Paid In Capital,0.0,1357748.0
Capital Stock,117288757.0,115025840.0
Common Stock,117288757.0,115025840.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,124990.0,199719.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0
Current Liabilities,124990.0,199719.0
Payables And Accrued Expenses,124990.0,199719.0
Current Accrued Expenses,124990.0,199719.0
Total Assets,118322369.0,116490959.0
Total Non Current Assets,117288329.0,115025412.0
Other Non Current Assets,117288329.0,115025412.0
Non Current Prepaid Assets,0.0,
Current Assets,1034040.0,1465547.0
Prepaid Assets,229549.0,
Receivables,22350.0,19110.0
Duefrom Related Parties Current,22350.0,19110.0
Cash Cash Equivalents And Short Term Investments,782141.0,1446437.0
Cash And Cash Equivalents,782141.0,1446437.0
Cash Financial,782141.0,1446437.0
