,2025-12-31,2024-12-31
Ordinary Shares Number,13500000.0,13500000.0
Share Issued,13500000.0,13500000.0
Total Debt,128854.0,1548669.0
Tangible Book Value,12939070.0,4280147.0
Invested Capital,13067924.0,5106306.0
Working Capital,9006459.0,-1457108.0
Net Tangible Assets,12939070.0,4280147.0
Capital Lease Obligations,0.0,722510.0
Common Stock Equity,12939070.0,4280147.0
Total Capitalization,12948917.0,4409350.0
Total Equity Gross Minority Interest,12939070.0,4280147.0
Stockholders Equity,12939070.0,4280147.0
Retained Earnings,-455996.0,1580147.0
Additional Paid In Capital,13376828.0,2684797.0
Capital Stock,18238.0,15203.0
Common Stock,18238.0,15203.0
Total Liabilities Net Minority Interest,14898308.0,11413200.0
Total Non Current Liabilities Net Minority Interest,9847.0,129203.0
Long Term Debt And Capital Lease Obligation,9847.0,129203.0
Long Term Capital Lease Obligation,,0.0
Long Term Debt,9847.0,129203.0
Current Liabilities,14888461.0,11283997.0
Current Deferred Liabilities,4037624.0,805163.0
Current Deferred Revenue,4037624.0,805163.0
Current Debt And Capital Lease Obligation,119007.0,1419466.0
Current Capital Lease Obligation,0.0,722510.0
Current Debt,119007.0,696956.0
Other Current Borrowings,119007.0,696956.0
Payables And Accrued Expenses,10731830.0,9059368.0
Current Accrued Expenses,932814.0,948421.0
Payables,9799016.0,8110947.0
Other Payable,118473.0,33461.0
Dueto Related Parties Current,18772.0,522847.0
Dividends Payable,5817274.0,5817274.0
Total Tax Payable,107245.0,203517.0
Accounts Payable,3737252.0,1533848.0
Total Assets,27837378.0,15693347.0
Total Non Current Assets,3942458.0,5866458.0
Non Current Deferred Assets,431907.0,1557925.0
Non Current Deferred Taxes Assets,304482.0,304482.0
Net PPE,3510551.0,4308533.0
Accumulated Depreciation,-2602798.0,-2437162.0
Gross PPE,6113349.0,6745695.0
Other Properties,252021.0,946516.0
Machinery Furniture Equipment,741629.0,679480.0
Properties,5119699.0,5119699.0
Current Assets,23894920.0,9826889.0
Restricted Cash,1284100.0,0.0
Prepaid Assets,917831.0,91485.0
Receivables,17654808.0,6751804.0
Other Receivables,13796242.0,3652783.0
Duefrom Related Parties Current,30200.0,30000.0
Taxes Receivable,232877.0,230835.0
Accounts Receivable,3595489.0,2838186.0
Allowance For Doubtful Accounts Receivable,-6170.0,-6170.0
Gross Accounts Receivable,3601659.0,2844356.0
Cash Cash Equivalents And Short Term Investments,4038181.0,2983600.0
Cash And Cash Equivalents,4038181.0,2983600.0
Cash Financial,4038181.0,2983600.0
