,2026-03-31,2025-09-30
Ordinary Shares Number,31331667.0,27331667.0
Share Issued,31331667.0,27331667.0
Net Debt,,35420.0
Total Debt,,35420.0
Tangible Book Value,232467746.0,9937.0
Invested Capital,232467746.0,45357.0
Working Capital,1303496.0,-21257.0
Net Tangible Assets,232467746.0,9937.0
Common Stock Equity,232467746.0,9937.0
Total Capitalization,232467746.0,9937.0
Total Equity Gross Minority Interest,232467746.0,9937.0
Stockholders Equity,232467746.0,9937.0
Retained Earnings,807188.0,-15063.0
Additional Paid In Capital,607037.0,24233.0
Capital Stock,231053521.0,767.0
Common Stock,231053521.0,767.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,103690.0,35896.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0
Current Liabilities,103690.0,35896.0
Current Debt And Capital Lease Obligation,,35420.0
Current Debt,,35420.0
Other Current Borrowings,,35420.0
Payables And Accrued Expenses,103690.0,476.0
Current Accrued Expenses,87000.0,476.0
Payables,16690.0,
Accounts Payable,16690.0,
Total Assets,232571436.0,45833.0
Total Non Current Assets,231164250.0,31194.0
Other Non Current Assets,231052687.0,
Non Current Prepaid Assets,111563.0,
Non Current Deferred Assets,0.0,31194.0
Current Assets,1407186.0,14639.0
Prepaid Assets,219212.0,14639.0
Cash Cash Equivalents And Short Term Investments,1187974.0,
Cash And Cash Equivalents,1187974.0,
Cash Financial,1187974.0,
