,2025-03-31
Ordinary Shares Number,64339299.0
Share Issued,64339299.0
Total Debt,660668.8477
Tangible Book Value,12729007.6336
Invested Capital,21956561.2505
Working Capital,12153762.2682
Net Tangible Assets,12729007.6336
Capital Lease Obligations,660668.8477
Common Stock Equity,21956561.2505
Total Capitalization,21956561.2505
Total Equity Gross Minority Interest,21956561.2505
Stockholders Equity,21956561.2505
Gains Losses Not Affecting Retained Earnings,643402.3991
Other Equity Adjustments,1366775.7179
Foreign Currency Translation Adjustments,-723373.3188
Retained Earnings,-39368411.4867
Capital Stock,60681570.3381
Common Stock,60681570.3381
Total Liabilities Net Minority Interest,8406034.1694
Total Non Current Liabilities Net Minority Interest,188113.4133
Long Term Debt And Capital Lease Obligation,188113.4133
Long Term Capital Lease Obligation,188113.4133
Current Liabilities,8217920.7561
Other Current Liabilities,3120683.3879
Current Debt And Capital Lease Obligation,472555.4344
Current Capital Lease Obligation,472555.4344
Pensionand Other Post Retirement Benefit Plans Current,550708.8332
Payables And Accrued Expenses,4073973.1006
Payables,4073973.1006
Other Payable,2490003.635
Accounts Payable,1583969.4656
Total Assets,30362595.4198
Total Non Current Assets,9990912.3955
Goodwill And Other Intangible Assets,9227553.6169
Other Intangible Assets,3129770.9924
Goodwill,6097782.6245
Net PPE,763358.7786
Gross PPE,763358.7786
Other Properties,557070.1563
Machinery Furniture Equipment,206288.6223
Current Assets,20371683.0243
Other Current Assets,1010541.6212
Prepaid Assets,926026.8993
Receivables,6698473.2824
Receivables Adjustments Allowances,-79970.9197
Accounts Receivable,6778444.2021
Cash Cash Equivalents And Short Term Investments,11736641.2214
Cash And Cash Equivalents,11736641.2214
Cash Financial,11736641.2214
