,2024-09-30
Ordinary Shares Number,28779300.0
Share Issued,28779300.0
Net Debt,870834.0
Total Debt,1086185.0
Tangible Book Value,-497705.0
Invested Capital,379155.0
Working Capital,-843729.0
Net Tangible Assets,-497705.0
Capital Lease Obligations,209325.0
Common Stock Equity,-497705.0
Total Capitalization,-497705.0
Total Equity Gross Minority Interest,-497705.0
Stockholders Equity,-497705.0
Other Equity Interest,10000.0
Retained Earnings,-4506479.0
Additional Paid In Capital,3998485.0
Capital Stock,289.0
Common Stock,289.0
Total Liabilities Net Minority Interest,1117072.0
Total Non Current Liabilities Net Minority Interest,207962.0
Long Term Debt And Capital Lease Obligation,207962.0
Long Term Capital Lease Obligation,207962.0
Current Liabilities,909110.0
Current Debt And Capital Lease Obligation,878223.0
Current Capital Lease Obligation,1363.0
Current Debt,876860.0
Other Current Borrowings,566360.0
Current Notes Payable,310500.0
Payables And Accrued Expenses,30887.0
Payables,30887.0
Accounts Payable,30887.0
Total Assets,619367.0
Total Non Current Assets,553986.0
Net PPE,553986.0
Accumulated Depreciation,-30056.0
Gross PPE,584042.0
Leases,4465.0
Machinery Furniture Equipment,36382.0
Buildings And Improvements,47706.0
Land And Improvements,495489.0
Properties,0.0
Current Assets,65381.0
Other Current Assets,23450.0
Inventory,31515.0
Finished Goods,31515.0
Receivables,4390.0
Duefrom Related Parties Current,4390.0
Cash Cash Equivalents And Short Term Investments,6026.0
Cash And Cash Equivalents,6026.0
